"UniqueSampleID","TREAT1_clean","condition","group","MS_batch_proxy","observed_proteins","missing_pct","log2_median","log2_q25","log2_q75","log2_iqr","median_norm_median","median_shift_applied"
"20250913_FJ_QZ_Q3","low","high_temperature","FJ_QZ","20250913",1391,2.99860529986053,9.61189967823526,8.173748026635,11.5981618625017,3.42441383586674,9.24236058272132,-0.369539095513941
"20250913_FJ_QZ_Q4","control","high_temperature","FJ_QZ","20250913",1421,0.906555090655509,9.48270432979232,8.13879753483813,11.3393786679571,3.20058113311899,9.24236058272132,-0.240343747070996
"20250913_FJ_QZ_Q12","control","high_temperature","FJ_QZ","20250913",1370,4.46304044630404,9.42799728938721,7.92494301588683,11.3688621344346,3.44391911854775,9.24236058272132,-0.185636706665885
"20250913_FJ_QZ_Q13","control","high_temperature","FJ_QZ","20250913",1331,7.18270571827057,9.18726764052311,7.60274880389328,11.2653540050287,3.66260520113545,9.24236058272132,0.0550929421982147
"20250913_FJ_QZ_Q14","control","high_temperature","FJ_QZ","20250913",1418,1.11576011157601,9.73089905055955,8.35297547239562,11.7478635878056,3.39488811540993,9.24236058272132,-0.488538467838227
"20250913_FJ_QZ_Q15","control","high_temperature","FJ_QZ","20250913",1396,2.64993026499303,9.42889546051473,8.02824731329148,11.3030748026492,3.2748274893577,9.24236058272132,-0.186534877793411
"20250913_FJ_QZ_Q16","control","high_temperature","FJ_QZ","20250913",1366,4.74198047419805,8.8853029098941,7.43627835101666,10.9651312583713,3.52885290735468,9.24236058272132,0.357057672827223
"20250913_FJ_QZ_Q18","control","high_temperature","FJ_QZ","20250913",1402,2.23152022315202,9.56727125012651,8.26430807602269,11.531429024123,3.26712094810026,9.24236058272132,-0.324910667405186
"20250913_FJ_QZ_Q20","control","high_temperature","FJ_QZ","20250913",1398,2.51046025104602,9.73434321135186,8.24092780257124,11.5938022718452,3.35287446927399,9.24236058272133,-0.491982628630533
"20250913_FJ_QZ_Q21","control","high_temperature","FJ_QZ","20250913",1397,2.58019525801953,9.27338727295965,7.80762780814571,11.4164993848172,3.6088715766715,9.24236058272132,-0.0310266902383223
"20250913_FJ_QZ_Q22","control","high_temperature","FJ_QZ","20250913",1408,1.81311018131102,9.31593716178085,7.9623172092952,11.2632754535962,3.30095824430101,9.24236058272132,-0.0735765790595266
"20250913_FJ_QZ_Q23","control","high_temperature","FJ_QZ","20250913",1374,4.18410041841004,8.96983962454218,7.66215970964995,10.9558317501912,3.29367204054128,9.24236058272132,0.272520958179141
"20250913_FJ_QZ_Q25","control","high_temperature","FJ_QZ","20250913",1407,1.88284518828452,9.67990828450333,8.26482767875935,11.5818592618091,3.31703158304972,9.24236058272132,-0.437547701782011
"20250913_FJ_QZ_Q26","control","high_temperature","FJ_QZ","20250913",1412,1.53417015341702,9.63391536951395,8.22831171373395,11.4745525125901,3.24624079885614,9.24236058272132,-0.39155478679263
