UniqueSampleID,TREAT1_clean,condition,group,MS_batch_proxy,observed_proteins,missing_pct,log2_median,log2_q25,log2_q75,log2_iqr,median_norm_median,median_shift_applied
20250913_FJ_QZ_Q3,low,湿热,FJ_QZ,20250913,1391,2.9986052998605297,9.611899678235265,8.173748026634996,11.598161862501732,3.424413835866737,9.242360582721323,-0.36953909551394126
20250913_FJ_QZ_Q4,control,湿热,FJ_QZ,20250913,1421,0.906555090655509,9.48270432979232,8.138797534838126,11.33937866795712,3.200581133118993,9.242360582721323,-0.24034374707099637
20250913_FJ_QZ_Q12,control,湿热,FJ_QZ,20250913,1370,4.463040446304045,9.427997289387209,7.924943015886829,11.368862134434575,3.4439191185477487,9.242360582721323,-0.1856367066658855
20250913_FJ_QZ_Q13,control,湿热,FJ_QZ,20250913,1331,7.182705718270571,9.187267640523109,7.602748803893283,11.265354005028732,3.66260520113545,9.242360582721323,0.0550929421982147
20250913_FJ_QZ_Q14,control,湿热,FJ_QZ,20250913,1418,1.1157601115760112,9.73089905055955,8.352975472395622,11.747863587805554,3.394888115409932,9.242360582721322,-0.48853846783822696
20250913_FJ_QZ_Q15,control,湿热,FJ_QZ,20250913,1396,2.6499302649930265,9.428895460514736,8.028247313291482,11.303074802649189,3.2748274893577047,9.242360582721323,-0.18653487779341127
20250913_FJ_QZ_Q16,control,湿热,FJ_QZ,20250913,1366,4.741980474198047,8.8853029098941,7.436278351016657,10.96513125837134,3.5288529073546826,9.242360582721322,0.35705767282722256
20250913_FJ_QZ_Q18,control,湿热,FJ_QZ,20250913,1402,2.2315202231520224,9.56727125012651,8.26430807602269,11.531429024122954,3.267120948100263,9.242360582721323,-0.32491066740518626
20250913_FJ_QZ_Q20,control,湿热,FJ_QZ,20250913,1398,2.510460251046025,9.734343211351856,8.240927802571239,11.593802271845227,3.3528744692739885,9.242360582721323,-0.49198262863053266
20250913_FJ_QZ_Q21,control,湿热,FJ_QZ,20250913,1397,2.580195258019526,9.273387272959646,7.807627808145714,11.416499384817218,3.608871576671504,9.242360582721323,-0.03102669023832227
20250913_FJ_QZ_Q22,control,湿热,FJ_QZ,20250913,1408,1.813110181311018,9.31593716178085,7.9623172092952,11.263275453596211,3.300958244301013,9.242360582721323,-0.07357657905952664
20250913_FJ_QZ_Q23,control,湿热,FJ_QZ,20250913,1374,4.184100418410042,8.969839624542182,7.662159709649954,10.95583175019123,3.293672040541276,9.242360582721322,0.27252095817914146
20250913_FJ_QZ_Q25,control,湿热,FJ_QZ,20250913,1407,1.882845188284519,9.679908284503334,8.26482767875935,11.581859261809072,3.3170315830497223,9.242360582721323,-0.43754770178201063
20250913_FJ_QZ_Q26,control,湿热,FJ_QZ,20250913,1412,1.5341701534170151,9.633915369513954,8.228311713733948,11.474552512590092,3.246240798856144,9.242360582721323,-0.39155478679263034
20250913_FJ_QZ_Q27,control,湿热,FJ_QZ,20250913,1418,1.1157601115760112,9.749860998473768,8.25801374113465,11.688561697147296,3.4305479560126457,9.242360582721322,-0.5075004157524443
20250913_FJ_QZ_Q28,control,湿热,FJ_QZ,20250913,1390,3.0683403068340307,9.319126888500762,7.96367222649677,11.256480541066908,3.292808314570137,9.242360582721323,-0.07676630577943833
20250913_FJ_QZ_Q29,control,湿热,FJ_QZ,20250913,1400,2.3709902370990235,9.566551575221595,8.0706427060247,11.447054628652817,3.376411922628117,9.242360582721322,-0.32419099250027195
20250913_FJ_QZ_Q31,high,湿热,FJ_QZ,20250913,1370,4.463040446304045,9.17273626344254,7.807547751565366,11.37979102109188,3.5722432695265134,9.242360582721323,0.06962431927878399
20250913_FJ_QZ_Q32,high,湿热,FJ_QZ,20250913,1402,2.2315202231520224,9.368555104547797,7.874288446648628,11.268276541785148,3.3939880951365184,9.242360582721323,-0.1261945218264735
20250913_FJ_QZ_Q33,high,湿热,FJ_QZ,20250913,1378,3.905160390516039,9.222761807152356,7.662458208913006,11.267192641783096,3.604734432870091,9.242360582721322,0.01959877556896749
20250913_FJ_QZ_Q34,high,湿热,FJ_QZ,20250913,1389,3.1380753138075312,9.32475395856944,7.939039125538685,11.307569940116144,3.3685308145774586,9.242360582721323,-0.08239337584811679
20250913_FJ_QZ_Q36,low,湿热,FJ_QZ,20250913,1407,1.882845188284519,9.606006622100908,8.122186789467957,11.441731088669378,3.3195442992014215,9.242360582721323,-0.3636460393795833
20250913_FJ_QZ_Q37,high,湿热,FJ_QZ,20250913,1370,4.463040446304045,9.610225192191416,8.014623850808954,11.642810828116133,3.628186977307178,9.242360582721323,-0.36786460947009303
20250913_FJ_QZ_Q38,low,湿热,FJ_QZ,20250913,1370,4.463040446304045,9.182358484145013,7.798720429276971,11.26334139671837,3.4646209674414,9.242360582721322,0.06000209857631056
20250913_FJ_QZ_Q39,high,湿热,FJ_QZ,20250913,1402,2.2315202231520224,9.600541673491431,8.169472573570278,11.549741425392751,3.380268851822475,9.242360582721322,-0.35818109077010796
20250913_FJ_QZ_Q41,high,湿热,FJ_QZ,20250913,1421,0.906555090655509,9.67547770958175,8.417422345282615,11.41832309530661,3.0009007500239946,9.242360582721323,-0.4331171268604273
20250913_FJ_QZ_Q42,high,湿热,FJ_QZ,20250913,1394,2.789400278940028,9.318600861870024,7.788061770763087,11.392418065346114,3.6043562945830265,9.242360582721323,-0.0762402791487009
20250913_FJ_QZ_Q44,low,湿热,FJ_QZ,20250913,1362,5.02092050209205,9.361603452667309,7.79937890771612,11.339256613609995,3.5398777058938773,9.242360582721323,-0.11924286994598532
20250913_FJ_QZ_Q45,low,湿热,FJ_QZ,20250913,1367,4.672245467224546,9.090704771646967,7.662494950174574,11.12440106776632,3.461906117591747,9.242360582721323,0.15165581107435422
20250913_FJ_QZ_Q48,low,湿热,FJ_QZ,20250913,1285,10.390516039051604,9.017338900668232,7.466195481855401,11.051148853042458,3.5849533711870567,9.242360582721323,0.22502168205309123
20250913_FJ_QZ_Q49,low,湿热,FJ_QZ,20250913,1417,1.1854951185495115,9.624485807679358,8.275775267098654,11.491449820913592,3.2156745538149387,9.242360582721323,-0.3821252249580347
20250913_FJ_QZ_Q50,control,湿热,FJ_QZ,20250913,1400,2.3709902370990235,9.051719914286895,7.755225336996756,10.944443779495831,3.189218442499075,9.242360582721323,0.19064066843442615
20250913_FJ_QZ_Q52,low,湿热,FJ_QZ,20250913,1355,5.509065550906555,9.202794919802177,7.617497861305821,11.238384087991694,3.620886226685872,9.242360582721323,0.03956566291914853
20250913_FJ_QZ_Q54,control,湿热,FJ_QZ,20250913,1370,4.463040446304045,8.907098551132705,7.444190110090636,10.819213624457484,3.3750235143668483,9.242360582721323,0.3352620315886181
20250913_FJ_QZ_Q55,control,湿热,FJ_QZ,20250913,1399,2.4407252440725244,9.357622876508229,7.911041677751223,11.400917080659111,3.48987540290789,9.242360582721323,-0.11526229378690368
20250913_FJ_QZ_Q57,control,湿热,FJ_QZ,20250913,1374,4.184100418410042,9.276422654793691,7.857643481626913,11.013785785604185,3.156142303977272,9.242360582721323,-0.03406207207236989
20250913_FJ_QZ_Q58,low,湿热,FJ_QZ,20250913,1347,6.066945606694561,9.331332892230265,7.927357537748659,11.427424911244142,3.500067373495483,9.242360582721323,-0.0889723095089412
20250913_FJ_QZ_Q59,low,湿热,FJ_QZ,20250913,1405,2.0223152022315203,9.848870848720798,8.433364745285836,11.66205886843405,3.2286941231482142,9.242360582721323,-0.606510265999475
20250913_FJ_QZ_Q60,low,湿热,FJ_QZ,20250913,1374,4.184100418410042,8.952480078385499,7.544638489084276,11.075899266799777,3.5312607777155005,9.242360582721322,0.2898805043358248
20250913_FJ_QZ_Q61,control,湿热,FJ_QZ,20250913,1360,5.160390516039052,8.999432559196373,7.634705442215406,11.003201985678402,3.368496543462996,9.242360582721323,0.24292802352495
20250913_FJ_QZ_Q62,control,湿热,FJ_QZ,20250913,1415,1.3249651324965133,9.962541712042292,8.715572212720284,11.851600564115785,3.1360283513955007,9.242360582721323,-0.7201811293209683
20250913_FJ_QZ_Q63,control,湿热,FJ_QZ,20250913,1395,2.7196652719665275,9.664499259460351,8.18941531644584,11.430287063559296,3.240871747113454,9.242360582721323,-0.4221386767390296
20250913_FJ_QZ_Q65,control,湿热,FJ_QZ,20250913,1377,3.974895397489539,9.490379744718812,8.03449438899457,11.459585581798478,3.425091192803908,9.242360582721323,-0.24801916199748852
20250913_FJ_QZ_Q66,low,湿热,FJ_QZ,20250913,1421,0.906555090655509,9.925502737690636,8.42242541333558,11.668436850427952,3.2460114370923723,9.242360582721323,-0.6831421549693122
20250913_FJ_QZ_Q67,low,湿热,FJ_QZ,20250913,1377,3.974895397489539,9.80569851567435,8.366552606738583,11.785404174232111,3.4188515674935296,9.242360582721323,-0.5633379329530275
20250913_FJ_QZ_Q68,control,湿热,FJ_QZ,20250913,1366,4.741980474198047,9.216493693247644,7.8844050447246925,11.12895147803159,3.2445464333068976,9.242360582721323,0.02586688947367932
20250913_FJ_QZ_Q69,control,湿热,FJ_QZ,20250913,1299,9.414225941422592,8.707104739906983,7.25069511712071,10.660603471205526,3.4099083540848163,9.242360582721323,0.5352558428143404
20250913_FJ_QZ_Q70,control,湿热,FJ_QZ,20250913,1417,1.1854951185495115,9.648407177310451,8.347435515022317,11.573472915659936,3.226037400637619,9.242360582721323,-0.40604659458912984
20250913_FJ_QZ_Q71,control,湿热,FJ_QZ,20250913,1400,2.3709902370990235,9.64912886701378,8.191503249664718,11.59553032714144,3.404027077476723,9.242360582721323,-0.4067682842924558
20250913_FJ_QZ_Q72,low,湿热,FJ_QZ,20250913,1329,7.322175732217573,9.572193314620405,8.108873285149297,11.443708082265728,3.3348347971164305,9.242360582721323,-0.32983273189908147
20250914_FJ_FQ_F47,low,湿热,FJ_FQ,20250914,1401,2.301255230125523,9.41366730797465,7.8692231263987775,11.254030506864678,3.384807380465901,9.242360582721323,-0.17130672525332713
20250914_FJ_FQ_F51,low,湿热,FJ_FQ,20250914,1407,1.882845188284519,9.771326245977022,8.238206416768186,11.764785476790516,3.52657906002233,9.242360582721323,-0.5289656632556987
20250914_FJ_FQ_F53,control,湿热,FJ_FQ,20250914,1403,2.161785216178522,9.495555096081487,8.002993580598432,11.404536287643364,3.401542707044932,9.242360582721323,-0.25319451336016563
