"PG.ProteinGroups","logFC_primary","logFC_comparison"
"A0A075B6H9",0.270225315541529,0.278585503397178
"A0A075B6I0",0.123643709894775,0.123131299254132
"A0A075B6J9",0.52813785289538,0.546565369807908
"A0A075B6K4",0.417549571866887,0.422132166579951
"A0A075B6K5",0.284833970644454,0.29023277452041
"A0A075B6P5;P01615",0.376880007481388,0.382337738623313
"A0A087WSX0",-0.0503543626064413,-0.0393481173763668
"A0A087WSY6",-0.105563641061158,-0.118182102539018
"A0A0A0MRZ8;P04433",0.297235017142704,0.295652058448026
"A0A0A0MS15",0.372821307000565,0.383258409941119
"A0A0B4J1U7",0.406109401787392,0.414888743471225
"A0A0B4J1V0",0.189308984882713,0.196457679766555
"A0A0B4J1X5",0.399281921738424,0.403733131526494
"A0A0B4J1Y8",0.444102614960157,0.463330283384499
"A0A0B4J1Y9",0.205486319497172,0.210885123373142
"A0A0C4DH25",0.382505654863952,0.394781349856085
"A0A0C4DH34",0.507863422244474,0.537362942427908
"A0A0C4DH38",0.442059691828483,0.462739603906149
"A0A0C4DH43",0.544778563725774,0.530386958582223
"A0A0C4DH67",0.265605569644435,0.30166516248851
"A0A0G2JS06",0.101928167292504,0.11819818925623
"A0A0J9YX35",0.237353099609024,0.265024270495122
"A0A0J9YXX1",0.228257615545338,0.241507594895676
"A0A1B0GTC6",-0.0121353281142742,-0.00673652423831861
"A0M8Q6",0.287850501977537,0.287472222325622
"A1L4H1",-0.201759299041367,-0.19636049516542
"A2A3L6",-0.05313623632094,-0.0487632319341742
"A2CJ06",0.153096023668528,0.174234670310353
"A2NJV5",0.310605271760675,0.316004075636627
"A6NDG6",-0.101807127279072,-0.103283746900845
"A6NL88",0.0536638623481576,0.0733334379847754
"A6NM11;A6NMS7",-0.170492857391146,-0.200508065704172
"A8MYB1",-0.0221687738916181,-0.0167499226129735
"B0I1T2",-0.0138162263509898,-0.0144092720945963
"B2RUZ4",-0.193509832029857,-0.152814813145893
"E9PAV3",-0.0211707333594582,-0.0173247601706468
"O00151",-0.0420397834523776,-0.042405708192101
"O00161",-0.0356448170386034,-0.0687887177527697
"O00186",-0.0274344026970308,-0.0380510078189289
"O00187",-0.0914008149030252,-0.086002011027059
"O00194",-0.197958898240561,-0.196758827626409
"O00231",-0.121416672474057,-0.134095100323688
"O00232",-0.370209591694479,-0.36299946611624
"O00264",0.181644551840234,0.183714055260086
"O00299",-0.130946562067979,-0.125547758192031
"O00339",-0.0642695724086249,-0.0627954462489235
"O00391",0.124795150902655,0.130193954778614
"O00410",-0.0883040999824889,-0.122062520180243
"O00429",0.370244366413733,0.337306246410505
"O00461",-0.181774836307358,-0.176376032431406
"O00468",-0.179065240929368,-0.173666437053416
"O00487",-0.0573148954554279,-0.0637656778418547
"O00533",-0.0234927937858149,-0.018093989909854
"O00560",-0.197055015163862,-0.185612158570558
"O00592",-0.235586257341687,-0.230187453465728
"O00602",0.171478352102733,0.181080203241585
"O14498",0.0406274069811765,0.0798797698182447
"O14594",-0.304949367016993,-0.299550563141048
"O14602;P47813",-0.217801449767096,-0.251187177998634
"O14645",-0.189193198406763,-0.190981294220251
"O14656",-0.0315702672798706,0.0386674078173641
"O14672",0.0189628334247729,0.0153513644869214
"O14745",-0.106409863316616,-0.108868762445148
"O14773",0.0701182577420827,0.100211167643677
"O14786",-0.224368360956033,-0.218969557080085
"O14791",0.0791902982695021,0.0845891021454612
"O14818",-0.130828301911366,-0.129944777039409
"O14950;P19105",0.0610607796096971,0.0692913196372942
