"PG.ProteinGroups","logFC_primary","logFC_comparison"
"A0A075B6H9",-0.0308229681250989,0.0723346588597966
"A0A075B6I0",-0.0523988674880318,0.0616625223117264
"A0A075B6J9",0.243255188903007,0.334107254320154
"A0A075B6K4",0.159671705606586,0.265272609548568
"A0A075B6K5",0.0157167928038753,0.122132969085168
"A0A075B6P5;P01615",0.0169634108536538,0.11993209141707
"A0A087WSX0",-0.244008997636783,-0.132790219557394
"A0A087WSY6",-0.0412010006117107,0.0570867338944634
"A0A0A0MRZ8;P04433",0.0480827048601533,0.150570224733427
"A0A0A0MS15",0.0771501912947254,0.185400205159352
"A0A0B4J1U7",0.0691159180831686,0.16803424538857
"A0A0B4J1V0",-0.0832846633631501,0.0243198883502451
"A0A0B4J1X5",-0.0970245760358992,0.0110709856891429
"A0A0B4J1Y8",0.2502774101517,0.353789941324889
"A0A0B4J1Y9",-0.160567491870175,-0.0541513155888591
"A0A0C4DH25",0.0556213807392361,0.1576092094078
"A0A0C4DH34",0.057132295702278,0.191077494939764
"A0A0C4DH38",0.191637410822961,0.293511953955941
"A0A0C4DH43",0.0987365492671728,0.204915145679541
"A0A0C4DH67",0.0202418468314676,0.150410332218119
"A0A0G2JS06",-0.17271144963722,-0.0603441444289192
"A0A0J9YX35",0.0501180869183369,0.146448709465703
"A0A0J9YXX1",0.234475768224339,0.297620254062172
"A0A1B0GTC6",-0.323372770859171,-0.216956594577876
"A0M8Q6",-0.0493897818424589,0.0432577636281444
"A1L4H1",-0.272344644166798,-0.165928467885509
"A2A3L6",-0.0902483365520386,-0.0165691270850008
"A2CJ06",-0.15879652152638,-0.0748447514549788
"A2NJV5",0.00917861996403424,0.11559479624534
"A6NDG6",-0.273731301983248,-0.173924137706575
"A6NL88",-0.260952789115084,-0.167462406744844
"A6NM11;A6NMS7",-0.139218513000631,-0.0734642986827057
"A8MYB1",-0.368186421920864,-0.249662620202974
"B0I1T2",-0.11487168705782,-0.00615912260274243
"B2RUZ4",-0.174553171412297,-0.0478821069195092
"E9PAV3",-0.130401083141563,-0.00145995337916638
"O00151",0.103674750210168,0.21443106182944
"O00161",-0.0953623196648552,-0.0230413816204722
"O00186",-0.141836296616487,-0.0712052542155686
"O00187",-0.22011204821402,-0.11369587193272
"O00194",-0.113296890661555,-0.0267568188367999
"O00231",-0.11624910656678,-0.00638438503102279
"O00232",-0.178521797476822,-0.0738623867394033
"O00264",0.123393281807054,0.21745045734963
"O00299",-0.0161536094630979,0.0902625668181969
"O00339",-0.34008383057583,-0.243021983009814
"O00391",-0.144743792349074,-0.0383276160677486
"O00410",-0.0824614269421362,0.00945900246548614
"O00429",0.197447067974171,0.28879766948416
"O00461",-0.282960568641922,-0.176544392360626
"O00468",-0.276281453354587,-0.16986527707329
"O00487",0.0786965816188134,0.171552714815999
"O00533",-0.133269587430954,-0.0268534111496557
"O00560",-0.167230930368923,-0.0601296842447621
"O00592",-0.282802506058177,-0.176386329776888
"O00602",-0.114008429600073,0.00600592549130674
"O14498",-0.0357013854611896,0.0573739530912256
"O14594",-0.338048803475971,-0.231632627194692
"O14602;P47813",-0.0620454613819632,0.0263584231345702
"O14645",-0.314808493026346,-0.214166722150724
"O14656",-0.110072628885079,-0.0156987129552437
"O14672",-0.15291641294087,-0.0555096375915411
"O14745",-0.185245742380658,-0.0880014392414541
"O14773",0.0477703705341437,0.165486663405972
"O14786",-0.293258576953324,-0.186842400672019
"O14791",-0.0206619200324454,0.0857542562488423
"O14818",-0.0535539605347246,0.054235107631964
"O14950;P19105",0.0620474436409459,0.168025465854859
"O14960",-0.330381542453964,-0.223965366172679
"O15031",-0.277159877752512,-0.199446404469165
"O15117",-0.0967540852137247,-0.0171674981412524
"O15143",-0.269329926150995,-0.160391392315724
"O15144",0.1046679723383,0.199082902508382
"O15145",0.0109840930707161,0.121467660865749
"O15204",-0.0666139137941073,0.0398022624872105
"O15335",-0.366008636182293,-0.259592459901
"O15400",-0.327481716347751,-0.223549945832136
"O15466",-0.305638253385021,-0.200392218113064
"O15498",-0.139158626175652,-0.0427742764732502
"O15511",-0.0673846737979638,0.0523300967302749
"O43157",-0.26125899060035,-0.154842814319053
"O43173",-0.155559258882227,-0.0577870798235507
"O43242",-0.185499530244413,-0.0670879573267644
"O43396",-0.437290300888533,-0.3379663732441
"O43399",-0.369314782086658,-0.268511465356587
"O43488",0.0173231043276472,0.142342761340119
"O43491",-0.0736409465976653,0.023565216202809
"O43505",-0.291127936697015,-0.146929256858374
"O43529",-0.225090325647294,-0.119882169184211
"O43681",-0.111803902849882,-0.0339308996475181
"O43707",-0.140341157491808,-0.0422564221071022
"O43852",-0.0715932538455437,0.0348229224357635
"O43866",-0.154450230859609,-0.0470493913184669
"O43897",-0.265468965506154,-0.206620827642283
"O60234",0.138900243442263,0.212963652504681
"O60240",-0.219030903706129,-0.102069356774923
"O60245",-0.330959017285474,-0.221395149278294
"O60279",-0.260853453113453,-0.154437276832166
"O60462",-0.255842940490183,-0.149426764208892
"O60476",-0.0558265132143605,0.0512229870649232
"O60493",-0.262104599065424,-0.159072838207587
"O60610",-0.0906478613041344,0.0317700466981661
"O60664",-0.11653664540125,-0.0137229160495762
"O60704",-0.200252423133396,-0.105439115703923
"O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879",0.0527500120391657,0.15916618832046
"O60844",-0.246327605624336,-0.18016603628558
"O60936",-0.144525858131791,-0.0760088654409419
"O75081",-0.325009402638749,-0.22807180748007
"O75083",0.136397884713306,0.242814060994606
"O75144",-0.0601890440600421,0.0558037286091526
"O75147",-0.241393898551236,-0.133752918293006
"O75165",0.0248118098102665,0.104996916272293
"O75170",-0.215696996328475,-0.169135768233767
"O75223",0.017495993947275,0.119715732072815
"O75309",-0.280246691408116,-0.166470124387329
"O75339",-0.27351369897152,-0.167097522690222
"O75340",-0.225695276948112,-0.119279100666798
"O75347",-0.00795288426037821,0.0985566051822548
"O75351",-0.0842602580084728,0.0301299258486996
"O75356",-0.117373985376332,-0.000739683098767152
"O75367",0.12093163625029,0.209466046607567
"O75368",0.020826808778307,0.109617550435441
"O75487",-0.342779620231813,-0.234368080530757
"O75531",-0.0822816886523157,0.0295910455349668
"O75558",-0.103467009941462,0.0413386218689231
"O75636",0.0297386793252041,0.136154855606513
"O75752",-0.255696667271577,-0.154031629428852
"O75787",-0.339441208497044,-0.233025032215748
"O75822",-0.0510039164768648,0.0220859927552803
"O75874",-0.183495193571828,-0.0794990642784548
"O75882",-0.238067313526644,-0.130269156069799
"O75897",-0.28503952899775,-0.221847525907403
"O75955",-0.186361603642995,-0.0808892847494782
"O94769",-0.282012511621854,-0.175596335340558
"O94966",-0.0783084480620975,0.011444586226121
"O94973",0.270787641934373,0.385746429569078
"O94985",-0.266971332514078,-0.160555156232787
"O95084",-0.224906864504303,-0.187353728755328
"O95196",-0.320096612381255,-0.218908617463459
"O95236",0.121272176129089,0.224410917962365
"O95373",-0.243416904064288,-0.137654054114394
"O95445",-0.0162735884753804,0.0901425878059232
"O95466",0.0164275830051981,0.129624783427044
"O95498",-0.0809250248689546,0.038634492230071
"O95714",-0.12053023588599,-0.0365383219525057
"O95715",-0.363457232280329,-0.265843811120421
"O95744",-0.101888720098081,0.0208681599141514
"O95747",-0.0544637429905439,0.0508153055442833
"O95782",-0.0386913429582059,0.0519816914287281
"O95810",0.0290009119898063,0.137091504541253
"O95967",-0.323758496444871,-0.215001578566183
"P00325",-0.274297036946612,-0.173927642210421
"P00326",-0.216740714503326,-0.105390159568151
"P00338",0.129665290709818,0.236081466991125
"P00352",-0.0493442078599333,0.0568004025680624
"P00387",0.0279297451454283,0.124529489162427
"P00450",0.0602829777197122,0.166699154001021
"P00451",-0.202024987302433,-0.0956088110211386
"P00488",0.0749484891167835,0.181364665398094
"P00491",0.164716861230598,0.272423604017751
"P00492",0.0158987257566219,0.153534978501512
"P00558",0.0155752744541768,0.121991450735466
"P00568",-0.0450172996061315,0.0540845728018997
"P00734",-0.170600345248598,-0.0641841689672873
"P00736",-0.281890875447919,-0.175474699166646
"P00738",0.158400138689647,0.264816314970952
"P00739",-0.089814919898501,0.0166012563828009
"P00740",-0.237403537193041,-0.130987360911748
"P00742",-0.134452566263997,-0.028036389982697
"P00746",-0.205261876366984,-0.0988457000856879
"P00747",-0.200532287324652,-0.0941161110433395
"P00748",-0.202399361772395,-0.0959831854910913
"P00751",-0.0258841943386905,0.080531981942574
"P00915",0.00338059851372208,0.109796774795013
"P00918",-0.0390312899148402,0.0673848863664528
"P00966",-0.362197878692168,-0.239956555728142
"P01008",-0.232535977614111,-0.126119801332818
"P01009",-0.0829999645987591,0.0234162116825374
"P01011",-0.266744612621203,-0.160328436339906
"P01019",-0.0699935542622949,0.0364226220190069
"P01023",0.0532968906376023,0.159713066918906
"P01024",-0.0862746827503891,0.0201414935309128
"P01031",-0.0289807502744015,0.0774354260068915
"P01033",0.136158373495389,0.244870404742166
"P01034",-0.0863356297261344,0.0200805465551603
"P01040",-0.31886075860459,-0.220441909436238
"P01042",-0.346780035136995,-0.240363858855686
"P01111",-0.095662766619002,0.00648492070956941
"P01116",-0.224165115698829,-0.0949553377770318
"P01137",-0.239406408024735,-0.122307704294709
"P01266",-0.315136455636078,-0.207378129933901
"P01275",-0.355378844900882,-0.250308236851279
"P01344",-0.168110814176728,-0.0639997580286149
"P01591",-0.275556531943069,-0.169140355661773
"P01597;P04432",-0.00200924358369825,0.085479604935264
"P01602",0.186834233477253,0.296921409788954
"P01619",0.00360872114751665,0.111009560688633
"P01624",-0.0113759608969239,0.0950402153843619
"P01699",-0.175577161317168,-0.0714661051690353
"P01700",0.167626309761522,0.274042486042823
"P01701",0.099740833348875,0.210129374936356
"P01703",-0.0680674395080825,0.040703787555131
"P01704",0.0767542728291684,0.179873518887717
"P01706",-0.0275992868305455,0.0836307262156968
"P01709",-0.00405955179919282,0.097535683185443
"P01714",-0.035465545982051,0.0593310569962764
"P01717",0.0424609627506314,0.148877139031946
"P01732",-0.124767571718793,-0.0606949615364547
"P01780",-0.204993808265646,-0.0985776319843517
