PG.ProteinGroups,Detection_pattern,Target_threshold,Other_threshold_exclusive
P60033,Broad_detection,0.7,0.2
P60174,Broad_detection,0.7,0.2
P60228,Other_unbalanced,0.7,0.2
P60520,Broad_detection,0.7,0.2
P60660,Broad_detection,0.7,0.2
P60709,Broad_detection,0.7,0.2
P60842,Broad_detection,0.7,0.2
P60866,Other_unbalanced,0.7,0.2
P60891,Broad_detection,0.7,0.2
P60900,Broad_detection,0.7,0.2
P60903,Broad_detection,0.7,0.2
P60953,Broad_detection,0.7,0.2
P60981,Other_unbalanced,0.7,0.2
P60985,Broad_detection,0.7,0.2
P61006,Broad_detection,0.7,0.2
P61009,Other_unbalanced,0.7,0.2
P61011,Sparse,0.7,0.2
P61018,Other_unbalanced,0.7,0.2
P61019,Broad_detection,0.7,0.2
P61020,Broad_detection,0.7,0.2
P61026,Broad_detection,0.7,0.2
P61073,Sparse,0.7,0.2
P61077,Other_unbalanced,0.7,0.2
P61081,Other_unbalanced,0.7,0.2
P61086,Other_unbalanced,0.7,0.2
P61088,Broad_detection,0.7,0.2
P61106,Broad_detection,0.7,0.2
P61158,Broad_detection,0.7,0.2
P61160,Broad_detection,0.7,0.2
P61163,Other_unbalanced,0.7,0.2
P61201,Other_unbalanced,0.7,0.2
P61221,Other_unbalanced,0.7,0.2
P61224,Broad_detection,0.7,0.2
P61225,Broad_detection,0.7,0.2
P61247,Other_unbalanced,0.7,0.2
P61254;Q9UNX3,Other_unbalanced,0.7,0.2
P61313,Other_unbalanced,0.7,0.2
P61353,Other_unbalanced,0.7,0.2
P61421,Other_unbalanced,0.7,0.2
P61513,Other_unbalanced,0.7,0.2
P61586,Broad_detection,0.7,0.2
P61601,Sparse,0.7,0.2
P61604,Broad_detection,0.7,0.2
P61626,Broad_detection,0.7,0.2
P61758,Other_unbalanced,0.7,0.2
P61764,Other_unbalanced,0.7,0.2
P61769,Broad_detection,0.7,0.2
P61803,Sparse,0.7,0.2
P61923,Other_unbalanced,0.7,0.2
P61952,Other_unbalanced,0.7,0.2
P61960,Other_unbalanced,0.7,0.2
P61970,Other_unbalanced,0.7,0.2
P61978,Broad_detection,0.7,0.2
P61981,Broad_detection,0.7,0.2
P62081,Broad_detection,0.7,0.2
P62136,Broad_detection,0.7,0.2
P62140,Other_unbalanced,0.7,0.2
P62191,Broad_detection,0.7,0.2
P62195,Broad_detection,0.7,0.2
P62241,Other_unbalanced,0.7,0.2
P62244,Other_unbalanced,0.7,0.2
P62249,Other_unbalanced,0.7,0.2
P62256,Other_unbalanced,0.7,0.2
P62258,Broad_detection,0.7,0.2
P62263,Other_unbalanced,0.7,0.2
P62266,Other_unbalanced,0.7,0.2
P62269,Other_unbalanced,0.7,0.2
P62277,Other_unbalanced,0.7,0.2
P62280,Other_unbalanced,0.7,0.2
P62304,Other_unbalanced,0.7,0.2
P62306,Sparse,0.7,0.2
P62308,Sparse,0.7,0.2
P62310,Sparse,0.7,0.2
P62314,Other_unbalanced,0.7,0.2
P62316,Other_unbalanced,0.7,0.2
P62318,Other_unbalanced,0.7,0.2
P62328,Broad_detection,0.7,0.2
P62330,Broad_detection,0.7,0.2
P62333,Broad_detection,0.7,0.2
P62424,Other_unbalanced,0.7,0.2
P62495,Other_unbalanced,0.7,0.2
P62701,Other_unbalanced,0.7,0.2
P62736,Broad_detection,0.7,0.2
P62750,Other_unbalanced,0.7,0.2
P62753,Other_unbalanced,0.7,0.2
P62805,Broad_detection,0.7,0.2
P62820,Broad_detection,0.7,0.2
P62826,Broad_detection,0.7,0.2
P62829,Other_unbalanced,0.7,0.2
P62834,Broad_detection,0.7,0.2
P62841,Other_unbalanced,0.7,0.2
P62847,Other_unbalanced,0.7,0.2
P62851,Other_unbalanced,0.7,0.2
P62854,Other_unbalanced,0.7,0.2
P62857,Other_unbalanced,0.7,0.2
P62861,Other_unbalanced,0.7,0.2
P62873,Other_unbalanced,0.7,0.2
P62879,Broad_detection,0.7,0.2
P62888,Other_unbalanced,0.7,0.2
P62891;Q59GN2,Sparse,0.7,0.2
P62899,Other_unbalanced,0.7,0.2
P62906,Broad_detection,0.7,0.2
P62910,Sparse,0.7,0.2
P62913,Other_unbalanced,0.7,0.2
P62917,Other_unbalanced,0.7,0.2
P62937,Broad_detection,0.7,0.2
P62942,Broad_detection,0.7,0.2
P62979,Broad_detection,0.7,0.2
P62993,Broad_detection,0.7,0.2
P62995,Other_unbalanced,0.7,0.2
P63000,Broad_detection,0.7,0.2
P63010,Broad_detection,0.7,0.2
P63027,Other_unbalanced,0.7,0.2
P63096,Sparse,0.7,0.2
P63098,Other_unbalanced,0.7,0.2
P63104,Broad_detection,0.7,0.2
P63151,Sparse,0.7,0.2
P63173,Other_unbalanced,0.7,0.2
P63208,Broad_detection,0.7,0.2
P63218,Broad_detection,0.7,0.2
P63220,Sparse,0.7,0.2
P63241,Broad_detection,0.7,0.2
P63244,Other_unbalanced,0.7,0.2
P63279,Other_unbalanced,0.7,0.2
P63313,Broad_detection,0.7,0.2
P63316,Other_unbalanced,0.7,0.2
P67775,Broad_detection,0.7,0.2
P67809,Other_unbalanced,0.7,0.2
P67812,Sparse,0.7,0.2
P67870,Other_unbalanced,0.7,0.2
P67936,Broad_detection,0.7,0.2
P68036,Broad_detection,0.7,0.2
P68104;Q5VTE0,Broad_detection,0.7,0.2
P68363,Broad_detection,0.7,0.2
P68366,Broad_detection,0.7,0.2
P68371,Broad_detection,0.7,0.2
P68400;Q8NEV1,Other_unbalanced,0.7,0.2
P68402,Broad_detection,0.7,0.2
P68431,Broad_detection,0.7,0.2
P68871,Broad_detection,0.7,0.2
P69849;Q15155;Q5JPE7,Other_unbalanced,0.7,0.2
P69891,Broad_detection,0.7,0.2
P69892,Broad_detection,0.7,0.2
P69905,Broad_detection,0.7,0.2
P78310,Other_unbalanced,0.7,0.2
P78318,Sparse,0.7,0.2
P78324;Q5TFQ8,Broad_detection,0.7,0.2
P78333,Sparse,0.7,0.2
P78344,Other_unbalanced,0.7,0.2
P78368;Q9Y6M4,Sparse,0.7,0.2
P78371,Broad_detection,0.7,0.2
P78417,Broad_detection,0.7,0.2
P78423,Broad_detection,0.7,0.2
P78504,Other_unbalanced,0.7,0.2
P78509,Broad_detection,0.7,0.2
P78527,Broad_detection,0.7,0.2
P78539,Broad_detection,0.7,0.2
P78552,Other_unbalanced,0.7,0.2
P78559,Sparse,0.7,0.2
P79483,Other_unbalanced,0.7,0.2
P80108,Broad_detection,0.7,0.2
P80188,Other_unbalanced,0.7,0.2
P80303,Broad_detection,0.7,0.2
P80511,Broad_detection,0.7,0.2
P80723,Broad_detection,0.7,0.2
P80748,Broad_detection,0.7,0.2
P81605,Broad_detection,0.7,0.2
P82663,Sparse,0.7,0.2
P82979,Other_unbalanced,0.7,0.2
P83731,Other_unbalanced,0.7,0.2
P84077,Broad_detection,0.7,0.2
P84085,Other_unbalanced,0.7,0.2
P84095,Broad_detection,0.7,0.2
P84098,Other_unbalanced,0.7,0.2
P84103,Other_unbalanced,0.7,0.2
P98066,Broad_detection,0.7,0.2
P98082,Other_unbalanced,0.7,0.2
P98088,Other_unbalanced,0.7,0.2
P98095,Broad_detection,0.7,0.2
P98160,Broad_detection,0.7,0.2
P98161,Broad_detection,0.7,0.2
P98164,Broad_detection,0.7,0.2
P98171,Other_unbalanced,0.7,0.2
P98172,Other_unbalanced,0.7,0.2
P98179,Other_unbalanced,0.7,0.2
P98194,Other_unbalanced,0.7,0.2
P99999,Other_unbalanced,0.7,0.2
Q00013,Broad_detection,0.7,0.2
Q00059,Sparse,0.7,0.2
Q00169,Other_unbalanced,0.7,0.2
Q00325,Other_unbalanced,0.7,0.2
Q00341,Sparse,0.7,0.2
Q00577,Other_unbalanced,0.7,0.2
Q00610,Broad_detection,0.7,0.2
Q00688,Other_unbalanced,0.7,0.2
Q00722,Other_unbalanced,0.7,0.2
Q00765,Other_unbalanced,0.7,0.2
Q00796,Other_unbalanced,0.7,0.2
Q00839,Broad_detection,0.7,0.2
Q01082,Broad_detection,0.7,0.2
Q01105,Other_unbalanced,0.7,0.2
Q01130,Other_unbalanced,0.7,0.2
Q01432,Other_unbalanced,0.7,0.2
Q01433,Other_unbalanced,0.7,0.2
Q01459,Other_unbalanced,0.7,0.2
Q01469,Broad_detection,0.7,0.2
Q01518,Broad_detection,0.7,0.2
Q01546,Broad_detection,0.7,0.2
Q01629,Sparse,0.7,0.2
Q01813,Broad_detection,0.7,0.2
Q01844,Other_unbalanced,0.7,0.2
Q01970,Other_unbalanced,0.7,0.2
Q01973,Broad_detection,0.7,0.2
Q01995,Other_unbalanced,0.7,0.2
Q02094,Other_unbalanced,0.7,0.2
Q02108,Other_unbalanced,0.7,0.2
Q02153,Other_unbalanced,0.7,0.2
Q02218,Other_unbalanced,0.7,0.2
Q02252,Other_unbalanced,0.7,0.2
Q02338,Sparse,0.7,0.2
Q02413,Broad_detection,0.7,0.2
Q02487,Broad_detection,0.7,0.2
Q02543,Other_unbalanced,0.7,0.2
Q02742,Sparse,0.7,0.2
Q02747,Sparse,0.7,0.2
Q02750,Other_unbalanced,0.7,0.2
Q02790,Other_unbalanced,0.7,0.2
Q02809,Other_unbalanced,0.7,0.2
Q02817,Broad_detection,0.7,0.2
Q02818,Broad_detection,0.7,0.2
Q02878,Other_unbalanced,0.7,0.2
Q02880,Sparse,0.7,0.2
Q02952,Broad_detection,0.7,0.2
Q02978,Other_unbalanced,0.7,0.2
Q02985,Broad_detection,0.7,0.2
Q03135,Sparse,0.7,0.2
Q03154,Other_unbalanced,0.7,0.2
Q03167,Broad_detection,0.7,0.2
Q03252,Other_unbalanced,0.7,0.2
Q03426,Sparse,0.7,0.2
Q03518,Sparse,0.7,0.2
Q03519,Other_unbalanced,0.7,0.2
Q04446,Other_unbalanced,0.7,0.2
Q04637,Broad_detection,0.7,0.2
Q04656,Other_unbalanced,0.7,0.2
Q04695,Broad_detection,0.7,0.2
Q04721,Broad_detection,0.7,0.2
Q04756,Broad_detection,0.7,0.2
Q04759,Sparse,0.7,0.2
Q04760,Broad_detection,0.7,0.2
Q04837,Sparse,0.7,0.2
Q04917,Broad_detection,0.7,0.2
Q04941,Other_unbalanced,0.7,0.2
Q05193,Other_unbalanced,0.7,0.2
Q05209,Other_unbalanced,0.7,0.2
Q05315,Other_unbalanced,0.7,0.2
Q05397,Other_unbalanced,0.7,0.2
Q05516,Other_unbalanced,0.7,0.2
Q05655,Other_unbalanced,0.7,0.2
Q05682,Broad_detection,0.7,0.2
Q05707,Broad_detection,0.7,0.2
Q06033,Broad_detection,0.7,0.2
Q06124,Other_unbalanced,0.7,0.2
Q06187,Other_unbalanced,0.7,0.2
Q06210,Other_unbalanced,0.7,0.2
Q06323,Broad_detection,0.7,0.2
Q06481,Broad_detection,0.7,0.2
Q06828,Broad_detection,0.7,0.2
Q06830,Broad_detection,0.7,0.2
Q07020,Broad_detection,0.7,0.2
Q07021,Other_unbalanced,0.7,0.2
Q07065,Other_unbalanced,0.7,0.2
Q07075,Other_unbalanced,0.7,0.2
Q07507,Broad_detection,0.7,0.2
Q07666,Sparse,0.7,0.2
Q07812,Other_unbalanced,0.7,0.2
Q07817,Sparse,0.7,0.2
Q07866,Other_unbalanced,0.7,0.2
Q07954,Broad_detection,0.7,0.2
Q07955,Other_unbalanced,0.7,0.2
Q07960,Broad_detection,0.7,0.2
Q08170,Sparse,0.7,0.2
Q08174,Broad_detection,0.7,0.2
Q08188,Broad_detection,0.7,0.2
Q08209,Other_unbalanced,0.7,0.2
Q08211,Other_unbalanced,0.7,0.2
Q08257,Other_unbalanced,0.7,0.2
Q08378,Broad_detection,0.7,0.2
Q08379,Sparse,0.7,0.2
Q08380,Broad_detection,0.7,0.2
Q08397,Other_unbalanced,0.7,0.2
Q08431,Broad_detection,0.7,0.2
Q08495,Broad_detection,0.7,0.2
Q08499,Other_unbalanced,0.7,0.2
Q08554,Broad_detection,0.7,0.2
Q08629,Broad_detection,0.7,0.2
Q08722,Broad_detection,0.7,0.2
Q08752,Sparse,0.7,0.2
Q08830,Broad_detection,0.7,0.2
Q08J23,Sparse,0.7,0.2
Q09028,Other_unbalanced,0.7,0.2
Q09327,Broad_detection,0.7,0.2
Q09328,Broad_detection,0.7,0.2
Q09666,Broad_detection,0.7,0.2
Q0VAA2,Sparse,0.7,0.2
Q0VD83,Broad_detection,0.7,0.2
Q0VGL1,Other_unbalanced,0.7,0.2
Q0ZGT2,Other_unbalanced,0.7,0.2
Q10469,Broad_detection,0.7,0.2
Q10471,Broad_detection,0.7,0.2
Q10472,Broad_detection,0.7,0.2
Q10567,Other_unbalanced,0.7,0.2
Q10589,Broad_detection,0.7,0.2
Q11201,Broad_detection,0.7,0.2
Q12788,Sparse,0.7,0.2
Q12794,Other_unbalanced,0.7,0.2
Q12797,Broad_detection,0.7,0.2
Q12805,Broad_detection,0.7,0.2
Q12841,Broad_detection,0.7,0.2
Q12846,Other_unbalanced,0.7,0.2
Q12849,Sparse,0.7,0.2
Q12860,Other_unbalanced,0.7,0.2
Q12864,Other_unbalanced,0.7,0.2
Q12874,Sparse,0.7,0.2
Q12882,Sparse,0.7,0.2
Q12884,Other_unbalanced,0.7,0.2
Q12904,Sparse,0.7,0.2
Q12905,Other_unbalanced,0.7,0.2
Q12906,Other_unbalanced,0.7,0.2
Q12907,Broad_detection,0.7,0.2
Q12912,Sparse,0.7,0.2
Q12913,Broad_detection,0.7,0.2
Q12931,Other_unbalanced,0.7,0.2
Q12974,Other_unbalanced,0.7,0.2
Q13009,Other_unbalanced,0.7,0.2
Q13011,Other_unbalanced,0.7,0.2
Q13033,Sparse,0.7,0.2
Q13043,Other_unbalanced,0.7,0.2
Q13045,Other_unbalanced,0.7,0.2
Q13057,Other_unbalanced,0.7,0.2
Q13093,Broad_detection,0.7,0.2
Q13094,Other_unbalanced,0.7,0.2
Q13098,Other_unbalanced,0.7,0.2
Q13103,Broad_detection,0.7,0.2
Q13126,Other_unbalanced,0.7,0.2
Q13131,Other_unbalanced,0.7,0.2
Q13144,Sparse,0.7,0.2
Q13148,Other_unbalanced,0.7,0.2
Q13151,Other_unbalanced,0.7,0.2
Q13153,Other_unbalanced,0.7,0.2
Q13162,Other_unbalanced,0.7,0.2
Q13177,Broad_detection,0.7,0.2
Q13185,Other_unbalanced,0.7,0.2
Q13188,Sparse,0.7,0.2
Q13200,Broad_detection,0.7,0.2
Q13201,Broad_detection,0.7,0.2
Q13214,Broad_detection,0.7,0.2
Q13217,Broad_detection,0.7,0.2
Q13228,Broad_detection,0.7,0.2
Q13237,Other_unbalanced,0.7,0.2
Q13242,Sparse,0.7,0.2
Q13247,Broad_detection,0.7,0.2
Q13257,Sparse,0.7,0.2
Q13263,Other_unbalanced,0.7,0.2
Q13283,Other_unbalanced,0.7,0.2
Q13287,Sparse,0.7,0.2
Q13308,Other_unbalanced,0.7,0.2
Q13316,Broad_detection,0.7,0.2
Q13332,Other_unbalanced,0.7,0.2
Q13336,Other_unbalanced,0.7,0.2
Q13347,Other_unbalanced,0.7,0.2
Q13349,Other_unbalanced,0.7,0.2
Q13361,Other_unbalanced,0.7,0.2
Q13367,Other_unbalanced,0.7,0.2
Q13404,Broad_detection,0.7,0.2
Q13418,Broad_detection,0.7,0.2
Q13421,Broad_detection,0.7,0.2
Q13423,Other_unbalanced,0.7,0.2
Q13435,Other_unbalanced,0.7,0.2
Q13442,Broad_detection,0.7,0.2
Q13444,Broad_detection,0.7,0.2
Q13449,Sparse,0.7,0.2
Q13459,Sparse,0.7,0.2
Q13464,Other_unbalanced,0.7,0.2
Q13477,Broad_detection,0.7,0.2
Q13492,Other_unbalanced,0.7,0.2
Q13496,Sparse,0.7,0.2
Q13510,Other_unbalanced,0.7,0.2
Q13526,Broad_detection,0.7,0.2
Q13555,Sparse,0.7,0.2
Q13561,Other_unbalanced,0.7,0.2
Q13573,Sparse,0.7,0.2
Q13576,Broad_detection,0.7,0.2
Q13586,Other_unbalanced,0.7,0.2
Q13596,Other_unbalanced,0.7,0.2
Q13609,Broad_detection,0.7,0.2
Q13610,Other_unbalanced,0.7,0.2
Q13613,Sparse,0.7,0.2
Q13616,Sparse,0.7,0.2
Q13617,Other_unbalanced,0.7,0.2
Q13618,Other_unbalanced,0.7,0.2
Q13630,Broad_detection,0.7,0.2
Q13636,Sparse,0.7,0.2
Q13637,Other_unbalanced,0.7,0.2
Q13642,Broad_detection,0.7,0.2
Q13683,Other_unbalanced,0.7,0.2
Q13724,Other_unbalanced,0.7,0.2
Q13740,Broad_detection,0.7,0.2
Q13790,Broad_detection,0.7,0.2
Q13795,Other_unbalanced,0.7,0.2
Q13797,Other_unbalanced,0.7,0.2
Q13813,Other_unbalanced,0.7,0.2
Q13822,Broad_detection,0.7,0.2
Q13835,Other_unbalanced,0.7,0.2
Q13838,Other_unbalanced,0.7,0.2
Q13867,Broad_detection,0.7,0.2
Q13884,Other_unbalanced,0.7,0.2
Q13885,Broad_detection,0.7,0.2
Q13939,Other_unbalanced,0.7,0.2
Q13976,Other_unbalanced,0.7,0.2
Q14005,Other_unbalanced,0.7,0.2
Q14008,Other_unbalanced,0.7,0.2
Q14011,Other_unbalanced,0.7,0.2
Q14012,Other_unbalanced,0.7,0.2
Q14019,Broad_detection,0.7,0.2
Q14088,Sparse,0.7,0.2
Q14103,Other_unbalanced,0.7,0.2
Q14108,Sparse,0.7,0.2
Q14112,Broad_detection,0.7,0.2
Q14116,Sparse,0.7,0.2
Q14118,Broad_detection,0.7,0.2
Q14126,Broad_detection,0.7,0.2
Q14134,Sparse,0.7,0.2
Q14137,Other_unbalanced,0.7,0.2
Q14141,Other_unbalanced,0.7,0.2
Q14151,Other_unbalanced,0.7,0.2
Q14152,Other_unbalanced,0.7,0.2
Q14155,Sparse,0.7,0.2
Q14157,Other_unbalanced,0.7,0.2
Q14161,Sparse,0.7,0.2
Q14162,Sparse,0.7,0.2
Q14165,Other_unbalanced,0.7,0.2
Q14166,Other_unbalanced,0.7,0.2
Q14203,Broad_detection,0.7,0.2
Q14204,Broad_detection,0.7,0.2
Q14210,Other_unbalanced,0.7,0.2
Q14213,Broad_detection,0.7,0.2
Q14232,Sparse,0.7,0.2
Q14240,Other_unbalanced,0.7,0.2
Q14242,Broad_detection,0.7,0.2
Q14247,Broad_detection,0.7,0.2
Q14254,Broad_detection,0.7,0.2
Q14257,Other_unbalanced,0.7,0.2
Q14258,Other_unbalanced,0.7,0.2
Q14289,Sparse,0.7,0.2
Q14314,Other_unbalanced,0.7,0.2
Q14315,Other_unbalanced,0.7,0.2
Q14318,Sparse,0.7,0.2
Q14344,Broad_detection,0.7,0.2
Q14392,Other_unbalanced,0.7,0.2
Q14393,Broad_detection,0.7,0.2
Q14432,Other_unbalanced,0.7,0.2
Q14444,Sparse,0.7,0.2
Q14498,Sparse,0.7,0.2
Q14515,Broad_detection,0.7,0.2
Q14517,Broad_detection,0.7,0.2
Q14520,Broad_detection,0.7,0.2
Q14554,Broad_detection,0.7,0.2
Q14558,Other_unbalanced,0.7,0.2
Q14566,Sparse,0.7,0.2
Q14571,Other_unbalanced,0.7,0.2
Q14574,Broad_detection,0.7,0.2
Q14623,Other_unbalanced,0.7,0.2
Q14624,Broad_detection,0.7,0.2
Q14642,Other_unbalanced,0.7,0.2
Q14643,Other_unbalanced,0.7,0.2
Q14644,Broad_detection,0.7,0.2
Q14677,Other_unbalanced,0.7,0.2
Q14684,Broad_detection,0.7,0.2
Q14696,Broad_detection,0.7,0.2
Q14697,Broad_detection,0.7,0.2
Q14699,Other_unbalanced,0.7,0.2
Q14738,Sparse,0.7,0.2
Q14739,Other_unbalanced,0.7,0.2
Q14761,Other_unbalanced,0.7,0.2
Q14764,Broad_detection,0.7,0.2
Q14766,Broad_detection,0.7,0.2
Q14767,Broad_detection,0.7,0.2
Q14773,Other_unbalanced,0.7,0.2
Q14789,Other_unbalanced,0.7,0.2
Q14847,Broad_detection,0.7,0.2
Q14956,Broad_detection,0.7,0.2
Q14974,Broad_detection,0.7,0.2
Q14980,Sparse,0.7,0.2
Q14BN4,Other_unbalanced,0.7,0.2
Q14C86,Broad_detection,0.7,0.2
Q14CN4,Sparse,0.7,0.2
Q15003,Sparse,0.7,0.2
Q15005,Other_unbalanced,0.7,0.2
Q15008,Other_unbalanced,0.7,0.2
Q15019,Other_unbalanced,0.7,0.2
Q15029,Other_unbalanced,0.7,0.2
Q15036,Sparse,0.7,0.2
Q15041,Other_unbalanced,0.7,0.2
Q15042,Sparse,0.7,0.2
Q15046,Other_unbalanced,0.7,0.2
Q15056,Other_unbalanced,0.7,0.2
Q15063,Broad_detection,0.7,0.2
Q15067,Other_unbalanced,0.7,0.2
Q15075,Other_unbalanced,0.7,0.2
Q15080,Other_unbalanced,0.7,0.2
Q15084,Broad_detection,0.7,0.2
Q15102,Other_unbalanced,0.7,0.2
Q15113,Broad_detection,0.7,0.2
Q15118,Sparse,0.7,0.2
Q15120,Sparse,0.7,0.2
Q15121,Other_unbalanced,0.7,0.2
Q15126,Other_unbalanced,0.7,0.2
Q15149,Broad_detection,0.7,0.2
Q15166,Broad_detection,0.7,0.2
Q15172,Other_unbalanced,0.7,0.2
Q15181,Other_unbalanced,0.7,0.2
Q15185,Broad_detection,0.7,0.2
Q15198,Other_unbalanced,0.7,0.2
Q15208,Other_unbalanced,0.7,0.2
Q15223,Other_unbalanced,0.7,0.2
Q15233,Other_unbalanced,0.7,0.2
Q15257,Other_unbalanced,0.7,0.2
Q15286,Other_unbalanced,0.7,0.2
Q15293,Broad_detection,0.7,0.2
Q15311,Sparse,0.7,0.2
Q15323,Sparse,0.7,0.2
Q15363,Other_unbalanced,0.7,0.2
Q15365,Broad_detection,0.7,0.2
Q15366,Broad_detection,0.7,0.2
Q15369,Other_unbalanced,0.7,0.2
Q15370,Sparse,0.7,0.2
Q15382,Other_unbalanced,0.7,0.2
Q15386,Other_unbalanced,0.7,0.2
Q15389,Broad_detection,0.7,0.2
Q15393,Sparse,0.7,0.2
Q15404,Broad_detection,0.7,0.2
Q15417,Other_unbalanced,0.7,0.2
Q15418,Sparse,0.7,0.2
Q15427,Sparse,0.7,0.2
Q15435,Broad_detection,0.7,0.2
Q15436,Other_unbalanced,0.7,0.2
Q15438,Broad_detection,0.7,0.2
Q15459,Sparse,0.7,0.2
Q15465,Other_unbalanced,0.7,0.2
Q15485,Broad_detection,0.7,0.2
Q15493,Other_unbalanced,0.7,0.2
Q15517,Broad_detection,0.7,0.2
Q15555,Other_unbalanced,0.7,0.2
Q15582,Broad_detection,0.7,0.2
Q15599,Broad_detection,0.7,0.2
Q15631,Sparse,0.7,0.2
Q15642,Sparse,0.7,0.2
Q15646,Sparse,0.7,0.2
Q15650,Other_unbalanced,0.7,0.2
Q15691,Broad_detection,0.7,0.2
Q15717,Other_unbalanced,0.7,0.2
Q15746,Other_unbalanced,0.7,0.2
Q15750,Sparse,0.7,0.2
Q15751,Sparse,0.7,0.2
Q15758,Broad_detection,0.7,0.2
Q15762,Other_unbalanced,0.7,0.2
Q15771,Sparse,0.7,0.2
Q15796,Other_unbalanced,0.7,0.2
Q15819,Sparse,0.7,0.2
Q15828,Other_unbalanced,0.7,0.2
Q15833,Broad_detection,0.7,0.2
Q15836,Other_unbalanced,0.7,0.2
Q15843,Other_unbalanced,0.7,0.2
Q15847,Other_unbalanced,0.7,0.2
Q15848,Broad_detection,0.7,0.2
Q15904,Broad_detection,0.7,0.2
Q15907,Broad_detection,0.7,0.2
Q15911,Broad_detection,0.7,0.2
Q15940,Other_unbalanced,0.7,0.2
Q15942,Broad_detection,0.7,0.2
Q16181,Broad_detection,0.7,0.2
Q16186,Sparse,0.7,0.2
Q16270,Broad_detection,0.7,0.2
Q16363,Broad_detection,0.7,0.2
Q16378,Broad_detection,0.7,0.2
Q16394,Other_unbalanced,0.7,0.2
Q16401,Broad_detection,0.7,0.2
Q16512,Other_unbalanced,0.7,0.2
Q16531,Other_unbalanced,0.7,0.2
Q16537,Sparse,0.7,0.2
Q16539,Other_unbalanced,0.7,0.2
Q16543,Broad_detection,0.7,0.2
Q16555,Other_unbalanced,0.7,0.2
Q16563,Sparse,0.7,0.2
Q16610,Broad_detection,0.7,0.2
Q16627,Broad_detection,0.7,0.2
Q16629,Other_unbalanced,0.7,0.2
Q16630,Sparse,0.7,0.2
Q16643,Broad_detection,0.7,0.2
Q16644,Other_unbalanced,0.7,0.2
Q16658,Broad_detection,0.7,0.2
Q16666,Sparse,0.7,0.2
Q16674,Other_unbalanced,0.7,0.2
Q16698,Other_unbalanced,0.7,0.2
Q16706,Broad_detection,0.7,0.2
Q16718,Sparse,0.7,0.2
Q16762,Other_unbalanced,0.7,0.2
Q16769,Other_unbalanced,0.7,0.2
Q16774,Other_unbalanced,0.7,0.2
Q16775,Broad_detection,0.7,0.2
Q16795,Other_unbalanced,0.7,0.2
Q16799,Other_unbalanced,0.7,0.2
Q16820,Other_unbalanced,0.7,0.2
Q16822,Other_unbalanced,0.7,0.2
Q16827,Other_unbalanced,0.7,0.2
Q16836,Other_unbalanced,0.7,0.2
Q16851,Broad_detection,0.7,0.2
Q16853,Other_unbalanced,0.7,0.2
Q16881,Other_unbalanced,0.7,0.2
Q16891,Other_unbalanced,0.7,0.2
Q19T08,Other_unbalanced,0.7,0.2
Q1KMD3,Other_unbalanced,0.7,0.2
Q27J81,Broad_detection,0.7,0.2
Q2M2W7,Other_unbalanced,0.7,0.2
Q2NL82,Sparse,0.7,0.2
Q2TAY7,Sparse,0.7,0.2
Q30154,Other_unbalanced,0.7,0.2
Q32MZ4,Other_unbalanced,0.7,0.2
Q32P28,Other_unbalanced,0.7,0.2
Q32P44,Sparse,0.7,0.2
Q3B726,Broad_detection,0.7,0.2
Q3KQU3,Sparse,0.7,0.2
Q3LXA3,Other_unbalanced,0.7,0.2
Q3SXM5,Sparse,0.7,0.2
Q3SY84,Broad_detection,0.7,0.2
Q3YEC7,Other_unbalanced,0.7,0.2
Q3ZAQ7,Sparse,0.7,0.2
Q3ZCW2,Broad_detection,0.7,0.2
Q49MG5,Other_unbalanced,0.7,0.2
Q4G0F5,Other_unbalanced,0.7,0.2
Q4G148,Other_unbalanced,0.7,0.2
Q4KMP7,Other_unbalanced,0.7,0.2
Q4KMQ2,Other_unbalanced,0.7,0.2
Q4KMZ1,Sparse,0.7,0.2
Q4KWH8,Other_unbalanced,0.7,0.2
Q4LDE5,Broad_detection,0.7,0.2
Q4LE39,Other_unbalanced,0.7,0.2
Q4U2R6,Sparse,0.7,0.2
Q4V328,Sparse,0.7,0.2
Q4VCS5,Sparse,0.7,0.2
Q504Y2,Broad_detection,0.7,0.2
Q52LJ0,Sparse,0.7,0.2
Q53EL6,Sparse,0.7,0.2
Q53EL9,Broad_detection,0.7,0.2
Q53FA7,Other_unbalanced,0.7,0.2
Q53FT3,Sparse,0.7,0.2
Q53GQ0,Other_unbalanced,0.7,0.2
Q53GS9,Sparse,0.7,0.2
Q53H76,Broad_detection,0.7,0.2
Q53H82,Sparse,0.7,0.2
Q53H96,Sparse,0.7,0.2
Q53QZ3,Sparse,0.7,0.2
Q53RD9,Broad_detection,0.7,0.2
Q53RT3,Other_unbalanced,0.7,0.2
Q53S08,Other_unbalanced,0.7,0.2
Q53T59,Sparse,0.7,0.2
Q53TN4,Other_unbalanced,0.7,0.2
Q562E7,Other_unbalanced,0.7,0.2
Q562R1,Broad_detection,0.7,0.2
Q5D862,Broad_detection,0.7,0.2
Q5EG05,Sparse,0.7,0.2
Q5FWE3,Other_unbalanced,0.7,0.2
Q5GLZ8,Sparse,0.7,0.2
Q5H9R7,Broad_detection,0.7,0.2
Q5HYC2,Broad_detection,0.7,0.2
Q5HYK9,Other_unbalanced,0.7,0.2
