PG.ProteinGroups,Detection_pattern,Target_threshold,Other_threshold_exclusive
O00587,Other_unbalanced,0.7,0.2
O00592,Broad_detection,0.7,0.2
O00602,Broad_detection,0.7,0.2
O00622,Other_unbalanced,0.7,0.2
O00629,Other_unbalanced,0.7,0.2
O00743,Other_unbalanced,0.7,0.2
O00748,Other_unbalanced,0.7,0.2
O14498,Broad_detection,0.7,0.2
O14523,Sparse,0.7,0.2
O14558,Other_unbalanced,0.7,0.2
O14579,Other_unbalanced,0.7,0.2
O14594,Broad_detection,0.7,0.2
O14602;P47813,Broad_detection,0.7,0.2
O14617,Other_unbalanced,0.7,0.2
O14618,Other_unbalanced,0.7,0.2
O14645,Broad_detection,0.7,0.2
O14646;O14647,Other_unbalanced,0.7,0.2
O14656,Broad_detection,0.7,0.2
O14672,Broad_detection,0.7,0.2
O14717,Other_unbalanced,0.7,0.2
O14727,Sparse,0.7,0.2
O14732,Other_unbalanced,0.7,0.2
O14735,Sparse,0.7,0.2
O14737,Other_unbalanced,0.7,0.2
O14744,Other_unbalanced,0.7,0.2
O14745,Broad_detection,0.7,0.2
O14773,Broad_detection,0.7,0.2
O14775,Sparse,0.7,0.2
O14786,Broad_detection,0.7,0.2
O14787,Sparse,0.7,0.2
O14791,Broad_detection,0.7,0.2
O14818,Broad_detection,0.7,0.2
O14880,Sparse,0.7,0.2
O14920,Sparse,0.7,0.2
O14950;P19105,Broad_detection,0.7,0.2
O14960,Broad_detection,0.7,0.2
O14964,Other_unbalanced,0.7,0.2
O14974,Other_unbalanced,0.7,0.2
O14976,Sparse,0.7,0.2
O14979,Other_unbalanced,0.7,0.2
O14980,Other_unbalanced,0.7,0.2
O14983,Other_unbalanced,0.7,0.2
O15013;Q9HCE6,Other_unbalanced,0.7,0.2
O15031,Broad_detection,0.7,0.2
O15033,Other_unbalanced,0.7,0.2
O15067,Other_unbalanced,0.7,0.2
O15075,Sparse,0.7,0.2
O15084,Other_unbalanced,0.7,0.2
O15111,Other_unbalanced,0.7,0.2
O15116,Sparse,0.7,0.2
O15117,Broad_detection,0.7,0.2
O15118,Other_unbalanced,0.7,0.2
O15126,Sparse,0.7,0.2
O15127,Sparse,0.7,0.2
O15143,Broad_detection,0.7,0.2
O15144,Broad_detection,0.7,0.2
O15145,Broad_detection,0.7,0.2
O15155,Sparse,0.7,0.2
O15173,Other_unbalanced,0.7,0.2
O15194,Sparse,0.7,0.2
O15204,Broad_detection,0.7,0.2
O15212,Other_unbalanced,0.7,0.2
O15213,Sparse,0.7,0.2
O15230,Other_unbalanced,0.7,0.2
O15231,Other_unbalanced,0.7,0.2
O15258,Sparse,0.7,0.2
O15260,Other_unbalanced,0.7,0.2
O15264,Other_unbalanced,0.7,0.2
O15269,Sparse,0.7,0.2
O15294,Sparse,0.7,0.2
O15305,Other_unbalanced,0.7,0.2
O15327,Sparse,0.7,0.2
O15335,Broad_detection,0.7,0.2
O15357,Sparse,0.7,0.2
O15371,Other_unbalanced,0.7,0.2
O15372,Other_unbalanced,0.7,0.2
O15389,Sparse,0.7,0.2
O15394,Sparse,0.7,0.2
O15400,Broad_detection,0.7,0.2
O15427,Other_unbalanced,0.7,0.2
O15439,Other_unbalanced,0.7,0.2
O15466,Broad_detection,0.7,0.2
O15498,Broad_detection,0.7,0.2
O15511,Broad_detection,0.7,0.2
O15533,Other_unbalanced,0.7,0.2
O43143,Other_unbalanced,0.7,0.2
O43149,Other_unbalanced,0.7,0.2
O43150,Other_unbalanced,0.7,0.2
O43157,Broad_detection,0.7,0.2
O43169,Sparse,0.7,0.2
O43173,Broad_detection,0.7,0.2
O43175,Other_unbalanced,0.7,0.2
O43181,Sparse,0.7,0.2
O43182,Other_unbalanced,0.7,0.2
O43242,Broad_detection,0.7,0.2
O43294,Other_unbalanced,0.7,0.2
O43298,Other_unbalanced,0.7,0.2
O43306,Sparse,0.7,0.2
O43312,Other_unbalanced,0.7,0.2
O43314,Sparse,0.7,0.2
O43324,Other_unbalanced,0.7,0.2
O43390,Other_unbalanced,0.7,0.2
O43396,Broad_detection,0.7,0.2
O43399,Broad_detection,0.7,0.2
O43447,Sparse,0.7,0.2
O43451,Other_unbalanced,0.7,0.2
O43488,Broad_detection,0.7,0.2
O43491,Broad_detection,0.7,0.2
O43493,Other_unbalanced,0.7,0.2
O43504,Other_unbalanced,0.7,0.2
O43505,Broad_detection,0.7,0.2
O43516,Other_unbalanced,0.7,0.2
O43529,Broad_detection,0.7,0.2
O43548,Other_unbalanced,0.7,0.2
O43561,Sparse,0.7,0.2
O43566,Sparse,0.7,0.2
O43583,Other_unbalanced,0.7,0.2
O43598,Sparse,0.7,0.2
O43615,Other_unbalanced,0.7,0.2
O43617,Other_unbalanced,0.7,0.2
O43633,Other_unbalanced,0.7,0.2
O43639,Other_unbalanced,0.7,0.2
O43665,Other_unbalanced,0.7,0.2
O43676,Sparse,0.7,0.2
O43678,Sparse,0.7,0.2
O43681,Broad_detection,0.7,0.2
O43684,Sparse,0.7,0.2
O43704,Sparse,0.7,0.2
O43707,Broad_detection,0.7,0.2
