"Protein","UniqueSampleID","Exposure","Log2_abundance"
"Q8TC71","20250914_FJ_FQ_F111","Short exposure",11.3626368071101
"Q8TC71","20250914_FJ_FQ_F118","Short exposure",13.9782206184571
"Q8TC71","20250914_FJ_FQ_F121","Long exposure",
"Q8TC71","20250914_FJ_FQ_F122","Long exposure",12.4284360846979
"Q8TC71","20250914_FJ_FQ_F123","Long exposure",13.4903523215415
"Q8TC71","20250914_FJ_FQ_F124","Long exposure",
"Q8TC71","20250914_FJ_FQ_F125","Long exposure",11.9603756758575
"Q8TC71","20250914_FJ_FQ_F126","Long exposure",11.5994114309558
"Q8TC71","20250914_FJ_FQ_F128","Short exposure",12.9830643998979
"Q8TC71","20250914_FJ_FQ_F129","Long exposure",11.4973014788501
"Q8TC71","20250914_FJ_FQ_F131","Control",12.1853057199598
"Q8TC71","20250914_FJ_FQ_F135","Long exposure",13.3292377950969
"Q8TC71","20250914_FJ_FQ_F137","Control",13.08937143544
"Q8TC71","20250914_FJ_PT_P2","Control",
"Q8TC71","20250914_FJ_PT_P3","Control",12.9176541560907
"Q8TC71","20250914_FJ_PT_P4","Short exposure",13.0631820873951
"Q8TC71","20250914_FJ_PT_P6","Long exposure",12.6299424234393
"Q8TC71","20250914_FJ_PT_P7","Control",13.881289499964
"Q8TC71","20250914_FJ_PT_P8","Short exposure",12.9445001949721
"Q8TC71","20250914_FJ_PT_P9","Short exposure",13.586688403082
"Q8TC71","20250914_FJ_PT_P10","Short exposure",12.8952160837254
"Q8TC71","20250914_FJ_PT_P11","Long exposure",
"Q8TC71","20250914_FJ_PT_P13","Short exposure",12.5701534587753
"Q8TC71","20250914_FJ_PT_P15","Short exposure",
"Q8TC71","20250914_FJ_PT_P17","Long exposure",
"Q8TC71","20250914_FJ_PT_P18","Long exposure",12.1445533818674
"Q8TC71","20250914_FJ_PT_P19","Long exposure",12.0434021577171
"Q8TC71","20250914_FJ_PT_P20","Short exposure",12.340448327464
"Q8TC71","20250914_FJ_PT_P21","Long exposure",
"Q8TC71","20250914_FJ_PT_P22","Short exposure",11.9773884159042
"Q8TC71","20250914_FJ_PT_P23","Short exposure",12.3228929388185
