"Protein","Exposure","N_total","N_observed","Mean","SE"
"P00738","Control",153,153,14.0228506587219,0.158542310217773
"P00738","Short exposure",186,186,14.5843062946341,0.138327111025311
"P00738","Long exposure",176,176,14.7726762792761,0.156752597062878
