"Protein","Exposure","N_total","N_observed","Mean","SE"
"P07585","Control",153,153,12.3360288669422,0.0501215979811706
"P07585","Short exposure",186,186,12.4666436248533,0.0463787987813235
"P07585","Long exposure",176,176,12.1564973256028,0.0487426598748254
