"Protein","Exposure","N_total","N_observed","Mean","SE"
"Q08378","Control",153,129,10.9360055523322,0.0832595084160287
"Q08378","Short exposure",186,159,11.2549485864383,0.0707655705743993
"Q08378","Long exposure",176,154,10.7339292399764,0.0736031026632981
