"Protein","Exposure","N_total","N_observed","Mean","SE"
"O14594","Control",153,153,11.6147493241837,0.054474549988575
"O14594","Short exposure",186,186,11.6873998717088,0.0519361908100227
"O14594","Long exposure",176,176,11.320453445051,0.0584292557888726
