"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250914_FJ_FQ_F81","Long exposure","Unknown",,FALSE,"PC1",-2.5231110469652
"20250914_FJ_FQ_F83","Short exposure","Unknown",,FALSE,"PC1",-12.8953547341492
"20250914_FJ_FQ_F84","Short exposure","Unknown",,FALSE,"PC1",-13.8429113874926
"20250914_FJ_FQ_F85","Long exposure","Unknown",,FALSE,"PC1",-12.0254062947358
"20250914_FJ_FQ_F88","Long exposure","Unknown",,FALSE,"PC1",5.16977344358275
"20250914_FJ_FQ_F89","Long exposure","Unknown",,FALSE,"PC1",-7.42433616027682
"20250914_FJ_FQ_F93","Short exposure","Unknown",,FALSE,"PC1",-14.3643294670378
"20250914_FJ_FQ_F94","Control","Unknown",,FALSE,"PC1",0.187701014932128
"20250914_FJ_FQ_F102","Long exposure","Unknown",,FALSE,"PC1",-13.4754207911504
"20250914_FJ_FQ_F105","Long exposure","Unknown",,FALSE,"PC1",-16.3446372934253
"20250914_FJ_FQ_F106","Long exposure","Unknown",,FALSE,"PC1",-14.3706387791107
"20250914_FJ_FQ_F107","Short exposure","Unknown",,FALSE,"PC1",-23.3935091837029
"20250914_FJ_FQ_F110","Long exposure","Unknown",,FALSE,"PC1",-16.8020434861872
"20250914_FJ_FQ_F111","Short exposure","Unknown",,FALSE,"PC1",3.04030410725084
"20250914_FJ_FQ_F118","Short exposure","Unknown",,FALSE,"PC1",-16.2123837645971
"20250914_FJ_FQ_F121","Long exposure","Unknown",,FALSE,"PC1",-16.3896839809343
"20250914_FJ_FQ_F122","Long exposure","Unknown",,FALSE,"PC1",-0.168387026469427
"20250914_FJ_FQ_F123","Long exposure","Unknown",,FALSE,"PC1",-13.5353253690095
"20250914_FJ_FQ_F124","Long exposure","Unknown",,FALSE,"PC1",-11.1893469254011
"20250914_FJ_FQ_F125","Long exposure","Unknown",,FALSE,"PC1",-3.08325742054284
"20250914_FJ_FQ_F126","Long exposure","Unknown",,FALSE,"PC1",-0.086258659380416
"20250914_FJ_FQ_F128","Short exposure","Unknown",,FALSE,"PC1",-11.3834530527533
"20250914_FJ_FQ_F129","Long exposure","Unknown",,FALSE,"PC1",0.819407385509354
"20250914_FJ_FQ_F131","Control","Unknown",,FALSE,"PC1",-5.72970660397135
"20250914_FJ_FQ_F135","Long exposure","Unknown",,FALSE,"PC1",-9.46919603621433
"20250914_FJ_FQ_F137","Control","Unknown",,FALSE,"PC1",-13.9089685206573
"20250914_FJ_PT_P2","Control","Unknown",,FALSE,"PC1",-12.8606369296572
"20250914_FJ_PT_P3","Control","Unknown",,FALSE,"PC1",-18.4345583479794
"20250914_FJ_PT_P4","Short exposure","Unknown",,FALSE,"PC1",-11.842402455531
"20250914_FJ_PT_P6","Long exposure","Unknown",,FALSE,"PC1",-7.80840197651124
"20250914_FJ_PT_P7","Control","Unknown",,FALSE,"PC1",-30.2385018134622
"20250914_FJ_PT_P8","Short exposure","Unknown",,FALSE,"PC1",-12.7703934095756
"20250914_FJ_PT_P9","Short exposure","Unknown",,FALSE,"PC1",-12.4673660533905
"20250914_FJ_PT_P10","Short exposure","Unknown",,FALSE,"PC1",-13.391530736165
"20250914_FJ_PT_P11","Long exposure","Unknown",,FALSE,"PC1",-23.2569203986649
"20250914_FJ_PT_P13","Short exposure","Unknown",,FALSE,"PC1",-15.2817024933285
"20250914_FJ_PT_P15","Short exposure","Unknown",,FALSE,"PC1",-16.8085156835927
"20250914_FJ_PT_P17","Long exposure","Unknown",,FALSE,"PC1",-19.2398032773034
"20250914_FJ_PT_P18","Long exposure","Unknown",,FALSE,"PC1",-15.9623214012291
"20250914_FJ_PT_P19","Long exposure","Unknown",,FALSE,"PC1",-14.8163532826959
"20250914_FJ_PT_P20","Short exposure","Unknown",,FALSE,"PC1",-12.2314434225453
"20250914_FJ_PT_P21","Long exposure","Unknown",,FALSE,"PC1",-18.4002964878646
"20250914_FJ_PT_P22","Short exposure","Unknown",,FALSE,"PC1",-9.47373872959884
"20250914_FJ_PT_P23","Short exposure","Unknown",,FALSE,"PC1",-13.3478709112851
"20250914_FJ_PT_P24","Long exposure","Unknown",,FALSE,"PC1",-14.8011523815098
"20250914_FJ_PT_P25","Short exposure","Unknown",,FALSE,"PC1",4.90696172457335
"20250914_FJ_PT_P26","Long exposure","Unknown",,FALSE,"PC1",-13.1334663636762
"20250914_FJ_PT_P27","Long exposure","Unknown",,FALSE,"PC1",-20.5443750032662
"20250914_FJ_PT_P29","Long exposure","Unknown",,FALSE,"PC1",-17.5630298998708
"20250914_FJ_PT_P30","Long exposure","Unknown",,FALSE,"PC1",-14.5203986349927
"20250914_FJ_PT_P33","Long exposure","Unknown",,FALSE,"PC1",-14.9826955251387
"20251001_FJ_FQ_F83","Short exposure","Unknown",,FALSE,"PC1",-3.57521624467457
"20251001_FJ_FQ_F95","Long exposure","Unknown",,FALSE,"PC1",4.48826072069719
"20251001_FJ_FQ_F97","Long exposure","Unknown",,FALSE,"PC1",-5.38368433434994
"20251001_FJ_FQ_F105","Long exposure","Unknown",,FALSE,"PC1",1.08067557859052
"20251001_FJ_FQ_F120","Long exposure","Unknown",,FALSE,"PC1",4.68560888781691
"20251001_FJ_FQ_F136","Control","Unknown",,FALSE,"PC1",9.5682442559825
"20251001_FJ_FQ_F141","Control","Unknown",,FALSE,"PC1",-13.1461311369645
"20251001_FJ_FQ_F147","Long exposure","Unknown",,FALSE,"PC1",-7.00102684905372
"20251001_FJ_FQ_F150","Control","Unknown",,FALSE,"PC1",-16.0980698504634
"20251001_FJ_FQ_F154","Long exposure","Unknown",,FALSE,"PC1",-11.0438881525125
"20251001_FJ_FQ_F158","Long exposure","Unknown",,FALSE,"PC1",1.44955941906226
"20251001_FJ_FQ_F163","Control","Unknown",,FALSE,"PC1",3.68257525789492
"20251001_FJ_FQ_F165","Control","Unknown",,FALSE,"PC1",-12.7822029282068
"20251001_FJ_FQ_F168","Long exposure","Unknown",,FALSE,"PC1",0.424986805461995
"20251001_FJ_FQ_F170","Control","Unknown",,FALSE,"PC1",-15.41666415319
"20251001_FJ_FQ_F173","Short exposure","Unknown",,FALSE,"PC1",-15.211191546581
"20251001_FJ_FQ_F174","Short exposure","Unknown",,FALSE,"PC1",-17.2239970240064
"20251001_FJ_FQ_F175","Short exposure","Unknown",,FALSE,"PC1",-5.78937413540805
"20251001_FJ_FQ_F176","Short exposure","Unknown",,FALSE,"PC1",-23.6394714633008
"20251001_FJ_FQ_F177","Short exposure","Unknown",,FALSE,"PC1",-11.9382184767534
"20251001_FJ_FQ_F180","Short exposure","Unknown",,FALSE,"PC1",-16.1881863125703
"20251001_FJ_FQ_F183","Short exposure","Unknown",,FALSE,"PC1",-26.3867167151749
"20251001_FJ_FQ_F185","Short exposure","Unknown",,FALSE,"PC1",-25.6788096361415
"20251001_XZ_YA_1","Short exposure","4h",,FALSE,"PC1",-28.5624807654618
"20251001_XZ_YA_2","Short exposure","4h",,FALSE,"PC1",-17.2085687417841
"20251001_XZ_YA_3","Short exposure","4h",,FALSE,"PC1",-6.22561609890644
"20251001_XZ_YA_4","Short exposure","4h",,FALSE,"PC1",-5.79840661144856
"20251001_XZ_YA_5","Short exposure","4h",,FALSE,"PC1",-14.90641135435
"20251001_XZ_YA_6","Short exposure","4h",,FALSE,"PC1",-12.8520478535525
"20251001_XZ_YA_7","Short exposure","4h",,FALSE,"PC1",-12.1666922168978
"20251001_XZ_YA_8","Short exposure","4h",,FALSE,"PC1",-15.2993004836448
"20251001_XZ_YA_9","Short exposure","4h",,FALSE,"PC1",-16.0800746311479
"20251001_XZ_YA_10","Short exposure","4h",,FALSE,"PC1",-28.7962148617397
"20251001_XZ_YA_11","Short exposure","4h",,FALSE,"PC1",-4.47101531200101
"20251001_XZ_YA_12","Short exposure","4h",,FALSE,"PC1",-25.7921441332216
"20251001_XZ_YA_13","Short exposure","4h",,FALSE,"PC1",-19.5081030472159
"20251001_XZ_YA_14","Short exposure","4h",,FALSE,"PC1",-19.5881032422498
"20251001_XZ_YA_15","Short exposure","4h",,FALSE,"PC1",-25.5062908701492
"20251001_XZ_YA_16","Short exposure","4h",,FALSE,"PC1",-17.0327260981991
"20251001_XZ_YA_17","Short exposure","4h",,FALSE,"PC1",-8.13669627226831
"20251001_XZ_YA_18","Short exposure","4h",,FALSE,"PC1",-16.2988864932569
"20251001_XZ_YA_19","Short exposure","4h",,FALSE,"PC1",-21.3600812211141
"20251001_XZ_YA_20","Control","4h",,FALSE,"PC1",-7.68018358978859
"20251001_XZ_YA_21","Control","4h",,FALSE,"PC1",-20.3413818779948
"20251001_XZ_YA_22","Long exposure","4h",,FALSE,"PC1",8.25006508807162
"20251001_XZ_YB_2","Control","4h",,FALSE,"PC1",-11.1886049832883
"20251001_XZ_YB_4","Control","4h",,FALSE,"PC1",-28.8392137678407
"20251001_XZ_YB_6","Control","4h",,FALSE,"PC1",-14.7050401768331
"20251001_XZ_YB_9","Control","4h",,FALSE,"PC1",-15.4883656557547
"20251001_XZ_YB_10","Control","4h",,FALSE,"PC1",-14.2961511762011
"20251001_XZ_YB_11","Control","4h",,FALSE,"PC1",-16.7310420283203
"20251001_XZ_YB_12","Control","4h",,FALSE,"PC1",-5.45995965607374
"20251001_XZ_YB_14","Control","4h",,FALSE,"PC1",-12.9834497374769
"20251001_XZ_YB_15","Control","4h",,FALSE,"PC1",-4.50410394036325
"20251001_XZ_YB_19","Control","4h",,FALSE,"PC1",-13.5825019145842
"20251001_XZ_YC_1","Control","4h",,FALSE,"PC1",-11.644994963317
"20251001_XZ_YC_2","Control","4h",,FALSE,"PC1",-21.9757397417992
"20251001_XZ_YC_3","Long exposure","4h",,FALSE,"PC1",-19.8551381978028
"20251001_XZ_YC_4","Control","4h",,FALSE,"PC1",-21.8342427336626
"20251001_XZ_YC_5","Long exposure","4h",,FALSE,"PC1",-3.61004965977726
"20251001_XZ_YC_6","Short exposure","4h",,FALSE,"PC1",-12.9014134740205
"20251001_XZ_YC_7","Short exposure","4h",,FALSE,"PC1",-17.1631692870755
"20251001_XZ_YC_8","Control","4h",,FALSE,"PC1",-7.91550965281815
"20251001_XZ_YC_9","Short exposure","4h",,FALSE,"PC1",6.53764403737818
"20251001_XZ_YC_10","Long exposure","4h",,FALSE,"PC1",-17.4882886093083
"20251001_XZ_YC_11","Long exposure","4h",,FALSE,"PC1",-1.02356290230224
"20251001_XZ_YC_12","Long exposure","4h",,FALSE,"PC1",-20.1862671494567
"20251001_XZ_YC_13","Long exposure","4h",,FALSE,"PC1",-11.5661409046614
"20251001_XZ_YC_14","Long exposure","4h",,FALSE,"PC1",-11.7000009551023
"20251001_XZ_YC_15","Long exposure","4h",,FALSE,"PC1",-16.0134149989694
"20251001_XZ_YC_16","Long exposure","4h",,FALSE,"PC1",-21.0377606341544
"20251001_XZ_YC_17","Long exposure","4h",,FALSE,"PC1",-15.1242658519195
"20251001_XZ_YC_18","Short exposure","4h",,FALSE,"PC1",-16.0510404492049
"20251001_XZ_YC_19","Long exposure","4h",,FALSE,"PC1",-10.7441002182526
"20251001_XZ_YC_20","Short exposure","4h",,FALSE,"PC1",-18.8855157651873
"20251001_XZ_YC_21","Long exposure","4h",,FALSE,"PC1",-9.28585747523624
"20251001_XZ_YC_22","Long exposure","4h",,FALSE,"PC1",-7.34248146410414
"20251001_XZ_YC_23","Short exposure","4h",,FALSE,"PC1",-6.94738573627467
"20251001_XZ_YC_24","Long exposure","4h",,FALSE,"PC1",-3.93450244954868
"20251001_XZ_YC_25","Long exposure","4h",,FALSE,"PC1",-6.80125345573592
"20251001_XZ_YC_26","Long exposure","4h",,FALSE,"PC1",-7.53576607313876
"20251001_XZ_YC_27","Long exposure","4h",,FALSE,"PC1",7.86126189397152
"20251001_XZ_YC_28","Long exposure","4h",,FALSE,"PC1",-3.20738154413595
"20251001_XZ_YC_29","Long exposure","4h",,FALSE,"PC1",-5.16857506316808
"20251001_XZ_YC_30","Short exposure","4h",,FALSE,"PC1",-13.8051250600095
"20251001_XZ_YC_31","Control","4h",,FALSE,"PC1",-14.5914075359381
"20251001_XZ_YC_32","Long exposure","4h",,FALSE,"PC1",-8.56680846599664
"20251001_XZ_YC_33","Long exposure","4h",,FALSE,"PC1",-3.92350088301239
"20251001_XZ_YC_34","Control","4h",,FALSE,"PC1",-16.538665684047
