"Protein","GeneSymbol","GeneNames_UniProt","ProteinName","UniProt_mapped","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","Pattern_display","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"O75487","GPC4","GPC4 UNQ474/PRO937","Glypican-4 (K-glypican) [Cleaved into: Secreted glypican-4]",TRUE,8.59603249896121,153,153,8.83321251123836,186,186,8.44985845692521,175,176,0.23718001227715,-0.383354054313147,-0.146174042035996,"Short_peak","Short-high profile",-0.342779620231813,0.00317808047041317,2,0.05
"Q14520","HABP2","HABP2 HGFAL","Factor VII-activating protease (FSAP) (EC 3.4.21.-) (FVII activator) (Hepatocyte growth factor activator-like protein) (Hyaluronan-binding protein 2) (Plasma hyaluronan-binding protein) (PHBP) (Plasma hyaluronan-binding serine protease) (PHBSP) [Cleaved into: Factor VII-activating protease 50 kDa N-terminal heavy chain; Factor VII-activating protease 50 kDa N-terminal heavy chain alternate form; Factor VII-activating protease 27 kDa C-terminal light chain; Factor VII-activating protease 27 kDa C-terminal light chain alternate form]",TRUE,17.7857642314796,153,153,17.9153438101454,186,186,17.5887174622268,176,176,0.129579578665858,-0.326626347918666,-0.197046769252808,"Short_peak","Short-high profile",-0.344859582489377,0.00320865829552815,2,0.05
"P28482","MAPK1","MAPK1 ERK2 PRKM1 PRKM2","Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)",TRUE,9.74789385992028,148,153,9.85593180482264,186,186,9.38823308835343,173,176,0.108037944902362,-0.467698716469206,-0.359660771566844,"Short_peak","Short-high profile",-0.482759223999901,0.00320865829552815,2,0.05
"Q6UWP8","SBSN","SBSN UNQ698/PRO1343","Suprabasin",TRUE,8.87518538816071,153,153,9.070525551787,186,186,8.64478696974953,176,176,0.195340163626286,-0.425738582037466,-0.23039841841118,"Short_peak","Short-high profile",-0.434119086010783,0.00320865829552815,2,0.05
"Q06828","FMOD","FMOD FM SLRR2E","Fibromodulin (FM) (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin) (KSPG fibromodulin)",TRUE,11.3696086112157,153,153,11.5473086485556,186,186,11.2314633172857,176,176,0.177700037339902,-0.315845331269928,-0.138145293930027,"Short_peak","Short-high profile",-0.290548621602927,0.00320865829552815,2,0.05
"P22466","GAL","GAL GAL1 GALN GLNN","Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide (GMAP)]",TRUE,8.43268745707249,125,153,8.80426613749596,164,186,8.13832262405602,152,176,0.371578680423477,-0.665943513439947,-0.29436483301647,"Short_peak","Short-high profile",-0.551231399747444,0.00333617930149253,2,0.05
"Q14956","GPNMB","GPNMB HGFIN NMB UNQ1725/PRO9925","Transmembrane glycoprotein NMB (Hematopoietic growth factor inducible neurokinin-1 type)",TRUE,8.17737409214226,152,153,8.2935661036425,177,186,7.91751471353579,164,176,0.116192011500235,-0.376051390106704,-0.259859378606468,"Short_peak","Short-high profile",-0.407432461317501,0.00333617930149253,2,0.05
"P49746","THBS3","THBS3 TSP3","Thrombospondin-3",TRUE,11.9951405817843,153,153,12.1871781996609,186,186,11.8542347716128,176,176,0.192037617876565,-0.332943428048088,-0.140905810171523,"Short_peak","Short-high profile",-0.346564228366676,0.00333617930149253,2,0.05
"O15335","CHAD","CHAD SLRR4A","Chondroadherin (Cartilage leucine-rich protein)",TRUE,11.1861601785428,153,153,11.3376824822059,186,186,10.9629909659817,176,176,0.151522303663103,-0.374691516224233,-0.22316921256113,"Short_peak","Short-high profile",-0.366008636182293,0.00333617930149253,2,0.05
"P35052","GPC1","GPC1","Glypican-1 [Cleaved into: Secreted glypican-1]",TRUE,7.96201785924225,153,153,8.12620438978199,186,186,7.83559325607351,176,176,0.164186530539741,-0.290611133708477,-0.126424603168736,"Short_peak","Short-high profile",-0.290024136196072,0.00333617930149253,2,0.05
"Q99715","COL12A1","COL12A1 COL12A1L","Collagen alpha-1(XII) chain",TRUE,10.7350295191953,153,153,10.8962774204148,186,186,10.5730922592009,176,176,0.161247901219523,-0.3231851612139,-0.161937259994376,"Short_peak","Short-high profile",-0.320290009890424,0.00333617930149253,2,0.05
"O00468","AGRN","AGRN AGRIN","Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit (N110); Agrin C-terminal 110 kDa subunit (C110); Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]",TRUE,10.1920045005639,153,153,10.3208287216062,186,186,10.0214531933212,176,176,0.128824221042338,-0.299375528285042,-0.170551307242704,"Short_peak","Short-high profile",-0.276281453354587,0.00336698512263927,2,0.05
"Q7LGC8","CHST3","CHST3","Carbohydrate sulfotransferase 3 (EC 2.8.2.17) (EC 2.8.2.21) (Chondroitin 6-O-sulfotransferase 1) (C6ST-1) (Chondroitin 6-sulfotransferase) (C6ST) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 0) (GST-0)",TRUE,10.9939098532793,153,153,11.1565894528353,186,186,10.8637882876437,176,176,0.162679599556002,-0.292801165191658,-0.130121565635656,"Short_peak","Short-high profile",-0.278969044252412,0.00354711847400752,2,0.05
"Q9NR99","MXRA5","MXRA5","Matrix-remodeling-associated protein 5 (Adhesion protein with leucine-rich repeats and immunoglobulin domains related to perlecan) (Adlican)",TRUE,10.2518076682657,153,153,10.3820511385243,186,186,10.0977919921653,176,176,0.130243470258662,-0.284259146359021,-0.154015676100359,"Short_peak","Short-high profile",-0.290871863924691,0.00354711847400752,2,0.05
"P09603","CSF1","CSF1","Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) (Proteoglycan macrophage colony-stimulating factor) (PG-M-CSF) [Cleaved into: Processed macrophage colony-stimulating factor 1; Macrophage colony-stimulating factor 1 43 kDa subunit]",TRUE,11.5767305148099,153,153,11.7470846558751,186,186,11.3967065389225,176,176,0.170354141065225,-0.350378116952678,-0.180023975887453,"Short_peak","Short-high profile",-0.299395117325982,0.00377185485648467,2,0.05
"Q0VD83","APOBR","APOBR APOB48R","Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor) (Apolipoprotein B48 receptor) (apoB-48R)",TRUE,10.4366109357262,153,153,10.579814819704,186,186,10.2262476507052,176,176,0.14320388397789,-0.353567168998801,-0.210363285020911,"Short_peak","Short-high profile",-0.342918078277039,0.00377185485648467,2,0.05
"Q8NG11","TSPAN14","TSPAN14 TM4SF14","Tetraspanin-14 (Tspan-14) (DC-TM4F2) (Transmembrane 4 superfamily member 14)",TRUE,7.18518399522115,120,153,7.47486549960502,141,186,7.02427520608586,136,176,0.289681504383865,-0.450590293519157,-0.160908789135292,"Short_peak","Short-high profile",-0.346357582439577,0.00377185485648467,2,0.05
"Q9UKM7","MAN1B1","MAN1B1 UNQ747/PRO1477","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)",TRUE,9.65623715587969,153,153,9.73306060286556,186,186,9.38439968424938,176,176,0.0768234469858697,-0.348660918616172,-0.271837471630302,"Short_peak","Short-high profile",-0.326302054051277,0.0038308820800138,2,0.05
"Q6ZRP7","QSOX2","QSOX2 QSCN6L1 SOXN","Sulfhydryl oxidase 2 (EC 1.8.3.2) (Neuroblastoma-derived sulfhydryl oxidase) (Quiescin Q6-like protein 1)",TRUE,8.43185508519086,153,153,8.66664447811083,186,186,8.26209590038775,176,176,0.234789392919968,-0.404548577723075,-0.169759184803107,"Short_peak","Short-high profile",-0.361076103515192,0.00409842065051398,2,0.05
"P78539","SRPX","SRPX ETX1","Sushi repeat-containing protein SRPX",TRUE,9.31318941869873,153,153,9.53169475790737,185,186,9.23335268802374,176,176,0.21850533920864,-0.298342069883628,-0.0798367306749874,"Short_peak","Short-high profile",-0.300069477399235,0.00409842065051398,2,0.05
"Q13103","SPP2","SPP2 SPP24","Secreted phosphoprotein 24 (Spp-24) (Secreted phosphoprotein 2)",TRUE,16.2545252427689,153,153,16.526959062403,186,186,16.1529504571838,176,176,0.272433819634113,-0.374008605219181,-0.101574785585068,"Short_peak","Short-high profile",-0.30571895391865,0.00409842065051398,2,0.05
"P35443","THBS4","THBS4 TSP4","Thrombospondin-4",TRUE,15.3055344045883,153,153,15.6065318481588,186,186,15.2061162185118,176,176,0.300997443570473,-0.400415629646972,-0.0994181860764982,"Short_peak","Short-high profile",-0.352856303425291,0.00412576332939874,2,0.05
"Q14515","SPARCL1","SPARCL1","SPARC-like protein 1 (High endothelial venule protein) (Hevin) (MAST 9)",TRUE,14.4757113276499,153,153,14.6066797867558,186,186,14.2557289551303,176,176,0.130968459105913,-0.35095083162553,-0.219982372519617,"Short_peak","Short-high profile",-0.323722684974175,0.00435901778539578,2,0.05
"Q9BYH1","SEZ6L","SEZ6L KIAA0927 UNQ2542/PRO6094","Seizure 6-like protein",TRUE,11.0608540179253,153,153,11.2485231444453,186,186,10.9090577980103,176,176,0.187669126519941,-0.339465346434995,-0.151796219915054,"Short_peak","Short-high profile",-0.310548175266486,0.00435901778539578,2,0.05
"P28906","CD34","CD34","Hematopoietic progenitor cell antigen CD34 (CD antigen CD34)",TRUE,10.8254764127695,153,153,11.0754020565935,184,186,10.7138011563638,175,176,0.249925643824003,-0.3616009002297,-0.111675256405697,"Short_peak","Short-high profile",-0.360813359055095,0.00435901778539578,2,0.05
