"Protein","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"Q15582",10.6849342325717,153,153,10.8453241996212,186,186,10.5443832349819,176,176,0.160389967049548,-0.300940964639322,-0.140550997589774,"Short_peak",-0.258773821009751,0.0151539573323163,"2.0",0.05
"O00461",8.9602397796175,153,153,9.08126010288438,186,186,8.78380758902837,176,176,0.121020323266874,-0.29745251385601,-0.176432190589136,"Short_peak",-0.282960568641922,0.015402129266756,"2.0",0.05
"P26022",10.3935130927414,153,153,10.6220911667304,186,186,10.2632243883427,176,176,0.228578073988903,-0.358866778387625,-0.130288704398723,"Short_peak",-0.295036713350385,0.015432376412274,"2.0",0.05
"O60462",12.4155011888276,153,153,12.6407145445941,186,186,12.3411160536036,176,176,0.225213355766497,-0.299598490990542,-0.0743851352240448,"Short_peak",-0.255842940490183,0.0155681817198973,"2.0",0.05
"Q8IZP7",8.7360896334614,153,153,8.86753621406281,186,186,8.55645678228372,176,176,0.131446580601409,-0.31107943177909,-0.179632851177681,"Short_peak",-0.261440066503813,0.0156450468191564,"2.0",0.05
"P29966",7.19031716556533,146,153,7.32358529850848,181,186,7.00137619269102,171,176,0.13326813294315,-0.322209105817453,-0.188940972874303,"Short_peak",-0.275976819924358,0.0162675668085129,"2.0",0.05
"Q14767",9.46554199085989,153,153,9.76617793784318,186,186,9.33459179540903,175,176,0.300635946983288,-0.431586142434147,-0.130950195450859,"Short_peak",-0.368237871251832,0.0162936921362173,"2.0",0.05
"Q76LX8",9.70415035718012,153,153,10.1046035594867,186,186,9.75313309012967,176,176,0.400453202306554,-0.351470469357004,0.0489827329495505,"Short_peak",-0.294736636685709,0.0162983526382422,"2.0",0.05
"P16871",10.3733892366603,153,153,10.3634658511551,186,186,10.1313094647703,176,176,-0.00992338550527805,-0.232156386384741,-0.242079771890019,"Long_suppression",-0.300120345626206,0.0176252027347758,"2.0",0.05
"Q9H159",9.3941916602857,153,153,9.5815475520055,186,186,9.29057198303505,176,176,0.187355891719804,-0.29097556897046,-0.103619677250656,"Short_peak",-0.275128594243997,0.0177917088440114,"2.0",0.05
