"UniqueSampleID","PC1","PC2","PC1_variance_pct","PC2_variance_pct","TREAT1_clean","condition","group","MS_batch_proxy"
"20250913_FJ_QZ_Q3",-15.4209879918602,-5.39624130609261,36.5255777764766,17.8850826313217,"low","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q4",-10.5297971830189,-4.39997642542198,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q12",-7.38376128279195,-2.05353425898215,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q13",-6.73217392741715,2.04644847591588,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q14",-18.1846028835029,-4.22185466578921,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q15",-9.58240207178926,-4.53847527618411,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q16",-0.812349382368148,0.31204725231516,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q18",-13.4779765254078,-5.61674352682019,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q20",-11.124769807591,-6.34268008220668,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q21",-10.8193345180522,0.793696020263601,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q22",-8.20364318637315,4.81791671053539,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q23",-2.47265942637704,0.66554116127586,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
"20250913_FJ_QZ_Q25",-15.1170539666638,-4.47543396925763,36.5255777764766,17.8850826313217,"control","湿热","FJ_QZ","20250913"
