"Model","UniqueSampleID","Included","Environment_raw","Acquisition_raw","Age_raw","Sex_raw"
"Primary","20250914_FJ_FQ_F124",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_FQ_F125",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_FQ_F126",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_FQ_F128",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_FQ_F129",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_FQ_F131",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_FQ_F135",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_FQ_F137",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P2",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P3",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P4",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P6",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P7",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P8",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P9",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P10",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P11",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P13",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P15",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P17",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P18",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P19",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P20",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P21",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P22",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P23",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P24",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P25",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P26",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P27",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P29",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P30",TRUE,"湿热","20250914",,
"Primary","20250914_FJ_PT_P33",TRUE,"湿热","20250914",,
"Primary","20251001_FJ_FQ_F83",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F95",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F97",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F105",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F120",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F136",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F141",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F147",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F150",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F154",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F158",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F163",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F165",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F168",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F170",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F173",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F174",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F175",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F176",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F177",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F180",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F183",TRUE,"湿热","20251001",,
"Primary","20251001_FJ_FQ_F185",TRUE,"湿热","20251001",,
"Primary","20251001_XZ_YA_1",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_2",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_3",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_4",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_5",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_6",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_7",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_8",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_9",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_10",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_11",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_12",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_13",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_14",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_15",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_16",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_17",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_18",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_19",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_20",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_21",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YA_22",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_2",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_4",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_6",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_9",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_10",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_11",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_12",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_14",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_15",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YB_19",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_1",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_2",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_3",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_4",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_5",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_6",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_7",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_8",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_9",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_10",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_11",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_12",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_13",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_14",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_15",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_16",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_17",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_18",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_19",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_20",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_21",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_22",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_23",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_24",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_25",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_26",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_27",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_28",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_29",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_30",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_31",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_32",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_33",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YC_34",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_1",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_3",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_4",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_5",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_6",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_7",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_8",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_9",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_10",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_11",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_12",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_13",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_14",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_15",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_16",TRUE,"高海拔","20251001",,
"Primary","20251001_XZ_YD_17",TRUE,"高海拔","20251001",,
