category,samples,detected_any,detected_ge50pct,detected_ge80pct,detected_all,missing_pct,sample_detected_median,sample_detected_q25,sample_detected_q75,sample_detected_min,sample_detected_max
FJ_FQ,70,3713,1948,1392,681,46.586324338485724,2071.0,1870.0,2212.5,1199,2913
FJ_PT,26,3723,2690,2083,1376,30.398420023780254,2652.0,2511.5,2791.75,2159,3106
FJ_QZ,61,3686,2061,1556,891,43.937604418541724,2127.0,2023.0,2256.0,1670,2737
GZ_TH,123,3774,1741,1177,570,50.272103192606465,1836.0,1638.5,2023.5,1053,3292
XZ_GG,143,3790,1837,1226,600,48.297733181149475,1890.0,1711.5,2176.0,1258,3140
XZ_YA,22,3643,2422,1654,984,37.78312334770286,2345.5,2100.5,2659.75,1618,3051
XZ_YB,12,3591,2638,1994,1521,32.896690245393415,2530.5,2358.75,2638.5,2257,3224
XZ_YC,34,3693,2320,1615,910,39.180754827474615,2298.0,2093.25,2480.0,1465,3071
XZ_YD,28,3781,2479,1647,992,34.70002619858528,2340.5,2091.0,2949.25,1703,3463
