level,category,samples,threshold_pct,minimum_detected_samples,protein_groups,pct_of_all_protein_groups,detected_at_least_one_sample
group,XZ_YB,12,100,12,1521,39.84804820539691,3591
group,XZ_YC,34,1,1,3693,96.75137542572702,3693
group,XZ_YC,34,10,4,3345,87.63426774954152,3693
group,XZ_YC,34,20,7,3071,80.45585538380926,3693
group,XZ_YC,34,30,11,2741,71.8103222425989,3693
group,XZ_YC,34,40,14,2532,66.33481791983233,3693
group,XZ_YC,34,50,17,2320,60.78071784123657,3693
group,XZ_YC,34,60,21,2051,53.7332984018863,3693
group,XZ_YC,34,70,24,1877,49.17474456379355,3693
group,XZ_YC,34,80,28,1615,42.31071522137805,3693
group,XZ_YC,34,90,31,1387,36.33743777835997,3693
group,XZ_YC,34,100,34,910,23.840712601519517,3693
group,XZ_YD,28,1,1,3781,99.05685093004978,3781
group,XZ_YD,28,10,3,3677,96.33219806130468,3781
group,XZ_YD,28,20,6,3498,91.64265129682997,3781
group,XZ_YD,28,30,9,3123,81.81818181818183,3781
group,XZ_YD,28,40,12,2731,71.54833638983494,3781
group,XZ_YD,28,50,14,2479,64.9462929001834,3781
group,XZ_YD,28,60,17,2181,57.13911448781766,3781
group,XZ_YD,28,70,20,1904,49.882106366256224,3781
group,XZ_YD,28,80,23,1647,43.14906995022269,3781
group,XZ_YD,28,90,26,1307,34.24155095624836,3781
group,XZ_YD,28,100,28,992,25.988996594183916,3781
TREAT1_clean,control,153,1,2,3779,99.004453759497,3797
TREAT1_clean,control,153,10,16,3381,88.57741681949175,3797
TREAT1_clean,control,153,20,31,2924,76.6046633481792,3797
TREAT1_clean,control,153,30,46,2546,66.70159811370186,3797
TREAT1_clean,control,153,40,62,2218,58.10846214304427,3797
TREAT1_clean,control,153,50,77,2014,52.76395074665968,3797
TREAT1_clean,control,153,60,92,1770,46.37149593921928,3797
TREAT1_clean,control,153,70,108,1531,40.110034058160856,3797
TREAT1_clean,control,153,80,123,1311,34.34634529735394,3797
TREAT1_clean,control,153,90,138,1065,27.901493319360753,3797
