level,category,samples,metric,median,q25,q75,min,max,mean
TREAT1_clean,control,153,observed_proteins,1370.0,1315.0,1400.0,1078.0,1432.0,1349.3529411764705
TREAT1_clean,control,153,missing_pct,4.463040446304045,2.3709902370990235,8.298465829846583,0.1394700139470014,24.825662482566248,5.902863237345147
TREAT1_clean,control,153,log2_median,9.249266928542355,8.569910090947902,9.568378359569689,7.976089377975306,11.174438332649244,9.146736372141833
TREAT1_clean,control,153,log2_iqr,3.3211889078506927,3.1967690980412344,3.4626951493491447,2.8561705005588998,3.883925412779333,3.3430022043868153
TREAT1_clean,control,153,median_shift_applied,-0.006906345821031223,-0.3260177768483654,0.6724504917734215,-1.9320777499279203,1.2662712047460172,0.09562421057949042
TREAT1_clean,high,176,observed_proteins,1356.5,1277.75,1398.0,866.0,1431.0,1329.9943181818182
TREAT1_clean,high,176,missing_pct,5.404463040446304,2.510460251046025,10.896094839609486,0.20920502092050208,39.609483960948396,7.252836946874604
TREAT1_clean,high,176,log2_median,9.17203786048065,8.774290415183115,9.566514552953638,7.919898677598301,10.951113486522594,9.158647172260709
TREAT1_clean,high,176,log2_iqr,3.3513181090446045,3.2332340303581684,3.53627168195331,2.8737191569560974,4.394289675661244,3.390788250600103
TREAT1_clean,high,176,median_shift_applied,0.07032272224067437,-0.32415397023231485,0.46807016753820774,-1.7087529038012708,1.3224619051230224,0.0837134104606148
TREAT1_clean,low,186,observed_proteins,1369.5,1320.0,1401.0,976.0,1431.0,1352.3494623655913
TREAT1_clean,low,186,missing_pct,4.497907949790795,2.301255230125523,7.949790794979079,0.20920502092050208,31.938633193863318,5.693900811325564
TREAT1_clean,low,186,log2_median,9.321986214672531,9.082563517789136,9.650329410479973,8.030701482384787,10.625925955041408,9.31201570997505
TREAT1_clean,low,186,log2_iqr,3.358336253694373,3.202525870463074,3.499258824394786,2.9058477597356163,4.168119101969041,3.363832543399346
TREAT1_clean,low,186,median_shift_applied,-0.07962563195120698,-0.4079688277586486,0.15979706493218693,-1.383565372320085,1.2116591003365365,-0.06965512725372576
condition,high_stress,236,observed_proteins,1366.0,1303.75,1405.25,1086.0,1432.0,1345.5127118644068
condition,high_stress,236,missing_pct,4.741980474198048,2.004881450488145,9.082984658298466,0.1394700139470014,24.267782426778243,6.1706616552017595
condition,high_stress,236,log2_median,9.3038975377412,9.138489738255055,9.629755585266874,8.60593249560609,11.174438332649244,9.417535401522764
condition,high_stress,236,log2_iqr,3.2900349511357065,3.1602499541714426,3.4488234867152676,2.8561705005588998,4.064201932895513,3.319376579824733
condition,high_stress,236,median_shift_applied,-0.06153695501987588,-0.38739500254555104,0.1038708444662686,-1.9320777499279203,0.6364280871152328,-0.17517481880144073
condition,high_temperature,279,observed_proteins,1366.0,1314.5,1399.5,866.0,1432.0,1342.3870967741937
condition,high_temperature,279,missing_pct,4.741980474198047,2.405857740585774,8.333333333333332,0.1394700139470014,39.609483960948396,6.388626445314258
condition,high_temperature,279,log2_median,9.051719914286897,8.443864948057225,9.60316125715514,7.919898677598301,10.489866942989202,9.035373242120329
condition,high_temperature,279,log2_iqr,3.387249801584554,3.2557471449869517,3.5344505357132707,2.8737191569560974,4.394289675661244,3.4070180989621583
condition,high_temperature,279,median_shift_applied,0.19064066843442617,-0.3608006744338157,0.798495634664099,-1.247506360267879,1.3224619051230224,0.20698734060099375
group,FJ_FQ,69,observed_proteins,1375.0,1338.0,1400.0,976.0,1428.0,1348.231884057971
group,FJ_FQ,69,missing_pct,4.114365411436541,2.3709902370990235,6.694560669456067,0.41841004184100417,31.938633193863318,5.981040163321407
group,FJ_FQ,69,log2_median,9.520862864483748,9.209322386065317,9.746636134428325,8.569910090947902,10.489866942989202,9.47693944077904
group,FJ_FQ,69,log2_iqr,3.5339489832432545,3.3948507307068283,3.6830274165898826,2.981139574009024,4.143427858822442,3.540891380923213
group,FJ_FQ,69,median_shift_applied,-0.27850228176242453,-0.5042755517070017,0.03303819665600649,-1.247506360267879,0.6724504917734215,-0.23457885805771475
group,FJ_PT,26,observed_proteins,1422.0,1418.0,1425.0,1384.0,1432.0,1418.7307692307693
group,FJ_PT,26,missing_pct,0.8368200836820083,0.6276150627615062,1.1157601115760112,0.1394700139470014,3.486750348675035,1.064799914172299
group,FJ_PT,26,log2_median,9.770752092234316,9.648089966098862,9.973195774224603,8.962976027133413,10.40259314818213,9.79059217405202
group,FJ_PT,26,log2_iqr,3.1520192932052487,3.0849405961415823,3.3311196931423517,2.9058477597356163,3.648313325044499,3.2044591328448955
group,FJ_PT,26,median_shift_applied,-0.5283915095129927,-0.7308351915032789,-0.4057293833775377,-1.1602325654608059,0.2793845555879102,-0.5482315913306959
group,FJ_QZ,61,observed_proteins,1389.0,1370.0,1402.0,1285.0,1421.0,1381.1967213114754
group,FJ_QZ,61,missing_pct,3.1380753138075312,2.2315202231520224,4.463040446304045,0.906555090655509,10.390516039051603,3.6822370075679633
group,FJ_QZ,61,log2_median,9.331332892230265,9.182358484145013,9.611899678235265,8.707104739906983,9.962541712042292,9.369549111395454
group,FJ_QZ,61,log2_iqr,3.376411922628117,3.256435185194106,3.461906117591747,3.0009007500239946,3.6626052011354506,3.3708018470543464
