level,category,samples,metric,median,q25,q75,min,max,mean
overall,Overall,519,detected_protein_groups,2056.0,1792.0,2304.0,1053.0,3463.0,2099.616570327553
overall,Overall,519,missing_protein_groups,1761.0,1513.0,2025.0,354.0,2764.0,1717.383429672447
overall,Overall,519,missing_pct,46.13570867173173,39.638459523185745,53.05213518470002,9.274299187843855,72.41288970395598,44.99301623454145
overall,Overall,519,median_observed_abundance,304.5516662597656,252.1272315979004,353.19686126708984,120.5817985534668,733.22900390625,302.68491887586885
overall,Overall,519,total_observed_abundance,15367671.755278587,11192302.781655788,20146930.79807031,5252609.426487207,35097063.04314661,15739938.243462669
overall,Overall,519,mean_observed_abundance,7603.424843488282,5716.669452706692,9016.948606826903,2597.7296866900138,16540.052253710823,7480.790857860251
condition,湿热,280,detected_protein_groups,2022.5,1784.75,2241.0,1053.0,3292.0,2056.4
condition,湿热,280,missing_protein_groups,1794.5,1576.0,2032.25,525.0,2764.0,1760.6
condition,湿热,280,missing_pct,47.01336127849096,41.288970395598646,53.242074927953894,13.754257270107416,72.41288970395598,46.12522923762117
condition,湿热,280,median_observed_abundance,276.62003326416016,198.642074584961,331.1692428588867,120.5817985534668,694.1107788085938,275.84691065379553
condition,湿热,280,total_observed_abundance,14901848.19914043,8526585.769018888,20540979.253981188,5252609.426487207,31080985.66989088,14690093.327312523
condition,湿热,280,mean_observed_abundance,7446.8165141803,4553.919245646721,9247.259410229064,2597.7296866900138,14115.943571063257,7083.090488818692
condition,高海拔,239,detected_protein_groups,2086.0,1806.0,2426.5,1258.0,3463.0,2150.246861924686
condition,高海拔,239,missing_protein_groups,1731.0,1390.5,2011.0,354.0,2559.0,1666.7531380753137
condition,高海拔,239,missing_pct,45.34975111343987,36.429132826827356,52.68535499083049,9.274299187843855,67.04217972229499,43.66657422256521
condition,高海拔,239,median_observed_abundance,326.04017639160156,292.2846145629883,365.34488677978516,212.5353622436523,733.22900390625,334.1269368766242
condition,高海拔,239,total_observed_abundance,15448802.097154379,13560188.368161082,19842529.864756525,6680568.7396149635,35097063.04314661,16969882.078282923
condition,高海拔,239,mean_observed_abundance,7782.728858959059,6947.810635230918,8814.63402359925,3568.6798822729506,16540.052253710823,7946.715976402662
group,FJ_FQ,70,detected_protein_groups,2071.0,1870.0,2212.5,1199.0,2913.0,2038.8
group,FJ_FQ,70,missing_protein_groups,1746.0,1604.5,1947.0,904.0,2618.0,1778.2
group,FJ_FQ,70,missing_pct,45.7427298925858,42.0356300759759,51.00864553314122,23.68352108986115,68.58789625360231,46.586324338485724
group,FJ_FQ,70,median_observed_abundance,357.6629638671875,312.32363510131836,404.8196678161621,199.6275177001953,694.1107788085938,365.9772264753069
group,FJ_FQ,70,total_observed_abundance,19738482.167961955,16875135.282984853,21780212.118520617,9717535.028191686,30628927.645188093,19561609.037824564
group,FJ_FQ,70,mean_observed_abundance,9552.920068372421,8668.208676080252,10776.398200633517,4912.808406568091,14115.943571063257,9663.321640908656
group,FJ_PT,26,detected_protein_groups,2652.0,2511.5,2791.75,2159.0,3106.0,2656.6923076923076
group,FJ_PT,26,missing_protein_groups,1165.0,1025.25,1305.5,711.0,1658.0,1160.3076923076924
group,FJ_PT,26,missing_pct,30.52135184700026,26.86009955462405,34.20225307833377,18.627194131516895,43.43725438826304,30.398420023780254
group,FJ_PT,26,median_observed_abundance,305.1891784667969,288.811824798584,322.5013580322265,211.1714782714844,418.6925354003906,312.9483539874737
group,FJ_PT,26,total_observed_abundance,21085465.954505503,19727149.834788144,23863156.606433123,11682351.071077108,31080985.66989088,21643343.596150585
group,FJ_PT,26,mean_observed_abundance,8131.630823576423,7466.487784731677,8796.25751632054,5110.389794871876,10519.982604481187,8161.409966413571
group,FJ_QZ,61,detected_protein_groups,2127.0,2023.0,2256.0,1670.0,2737.0,2139.901639344262
group,FJ_QZ,61,missing_protein_groups,1690.0,1561.0,1794.0,1080.0,2147.0,1677.0983606557377
group,FJ_QZ,61,missing_pct,44.27560911710768,40.89599161645271,47.00026198585277,28.29447209850668,56.24836258842022,43.937604418541724
group,FJ_QZ,61,median_observed_abundance,305.0220642089844,284.8114471435547,335.6483917236328,244.8527526855469,411.6115112304688,311.3056029022717
group,FJ_QZ,61,total_observed_abundance,19305553.075665712,16085216.816290855,21435282.602995872,11298306.336865425,26626027.90151,19025934.863357935
group,FJ_QZ,61,mean_observed_abundance,8837.782060283216,7860.329882169933,9728.179722875411,6239.603493672024,12481.026204123422,8864.123917894934
group,GZ_TH,123,detected_protein_groups,1836.0,1638.5,2023.5,1053.0,3292.0,1898.1138211382113
group,GZ_TH,123,missing_protein_groups,1981.0,1793.5,2178.5,525.0,2764.0,1918.8861788617887
group,GZ_TH,123,missing_pct,51.89939743253864,46.987162693214565,57.07361802462667,13.754257270107416,72.41288970395598,50.27210319260646
group,GZ_TH,123,median_observed_abundance,189.8126678466797,170.54041290283203,220.305435180664,120.5817985534668,403.2660522460938,199.12544836649082
group,GZ_TH,123,total_observed_abundance,8285857.237358451,7378450.1025698185,9139404.719441652,5252609.426487207,13026201.101081133,8297597.876707625
