UniqueSampleID,PC1,PC2,PC1_variance_pct,PC2_variance_pct,TREAT1_clean,condition,group,MS_batch_proxy
20250913_FJ_QZ_Q3,-15.420987991860182,-5.3962413060926115,36.52557777647658,17.885082631321747,low,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q4,-10.529797183018934,-4.399976425421978,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q12,-7.383761282791952,-2.053534258982151,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q13,-6.732173927417147,2.046448475915883,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q14,-18.18460288350293,-4.221854665789214,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q15,-9.582402071789257,-4.538475276184112,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q16,-0.812349382368148,0.3120472523151595,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q18,-13.477976525407819,-5.616743526820187,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q20,-11.124769807590992,-6.342680082206679,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q21,-10.819334518052216,0.7936960202636005,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q22,-8.203643186373146,4.8179167105353855,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q23,-2.472659426377045,0.6655411612758599,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q25,-15.117053966663835,-4.475433969257629,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q26,-13.811340623644549,-4.055729153657239,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q27,-16.90113598836692,-2.6364978066176286,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q28,-8.641946153085362,-4.33986500394932,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q29,-13.25643537156332,-7.953159534900829,36.52557777647658,17.885082631321747,control,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q31,-8.300000916054016,11.45819365019189,36.52557777647658,17.885082631321747,high,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q32,-10.414816037948658,-3.9554891532238408,36.52557777647658,17.885082631321747,high,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q33,-7.547851625793931,-0.9732791285052314,36.52557777647658,17.885082631321747,high,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q34,-9.238740848070549,-4.432685833717508,36.52557777647658,17.885082631321747,high,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q36,-11.484050430246686,-4.522458170989868,36.52557777647658,17.885082631321747,low,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q37,-13.523977742264155,3.0080233202818025,36.52557777647658,17.885082631321747,high,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q38,-8.619876091665473,0.24303400305556033,36.52557777647658,17.885082631321747,low,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q39,-15.024850723027164,-5.817061640580928,36.52557777647658,17.885082631321747,high,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q41,-11.57361712478246,-9.496403358868777,36.52557777647658,17.885082631321747,high,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q42,-9.605330035437442,3.557135756444207,36.52557777647658,17.885082631321747,high,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q44,-8.00840360749149,-3.7827147322635883,36.52557777647658,17.885082631321747,low,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q45,-3.5328036976494954,10.36635821527661,36.52557777647658,17.885082631321747,low,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q48,1.9345743046835764,7.66137318950747,36.52557777647658,17.885082631321747,low,high_temperature,FJ_QZ,20250913
20250913_FJ_QZ_Q49,-12.786672220891486,-5.209267953322448,36.52557777647658,17.885082631321747,low,high_temperature,FJ_QZ,20250913
