category,samples,detected_any,detected_ge50pct,detected_ge80pct,detected_all,missing_pct,sample_detected_median,sample_detected_q25,sample_detected_q75,sample_detected_min,sample_detected_max
20250913,50,3658,2105,1593,932,43.400052397170555,2136.5,2030.75,2297.0,1670,2737
20250914,70,3756,2228,1553,716,40.7114787230061,2229.0,1993.75,2551.75,1199,3106
20251001,118,3789,2286,1574,717,39.23282549521987,2258.0,2041.75,2586.0,1463,3451
20251026,12,3251,2069,1529,1157,45.60518731988473,2125.0,1982.0,2166.5,1785,2402
20251104,2,3068,3068,2447,2447,27.757401100340584,2757.5,2679.75,2835.25,2602,2913
20251107,1,3463,3463,3463,3463,9.274299187843857,3463.0,3463.0,3463.0,3463,3463
20260527,143,3790,1837,1226,600,48.297733181149475,1890.0,1711.5,2176.0,1258,3140
20260717,123,3774,1741,1177,570,50.272103192606465,1836.0,1638.5,2023.5,1053,3292
