PG.ProteinGroups,control,high,low,unknown
O43813,0.5359477124183006,0.5454545454545454,0.5752688172043011,1.0
O43815,0.1568627450980392,0.1875,0.1774193548387097,0.25
O43847,0.7450980392156863,0.6477272727272727,0.6881720430107527,1.0
O43852,1.0,1.0,1.0,1.0
O43865,0.17647058823529413,0.1875,0.1774193548387097,0.25
O43866,1.0,1.0,0.9946236559139785,1.0
O43895,0.32679738562091504,0.3693181818181818,0.3709677419354839,0.75
O43897,0.9019607843137255,0.8295454545454546,0.9193548387096774,1.0
O43915,0.2679738562091503,0.26136363636363635,0.2903225806451613,0.25
O43920,0.0392156862745098,0.056818181818181816,0.043010752688172046,0.0
O60229,0.7843137254901961,0.7556818181818182,0.6881720430107527,0.75
O60234,0.8104575163398693,0.7329545454545454,0.7526881720430108,0.75
O60240,0.9150326797385621,0.8352272727272727,0.8709677419354839,0.75
O60241,0.29411764705882354,0.1875,0.21505376344086022,0.5
O60245,0.8169934640522876,0.8125,0.8763440860215054,1.0
O60256,0.7254901960784313,0.6931818181818182,0.7258064516129032,0.75
O60262,0.45751633986928103,0.3352272727272727,0.3548387096774194,0.25
O60268,0.23529411764705882,0.25,0.3548387096774194,0.5
O60269,0.0457516339869281,0.05113636363636364,0.04838709677419355,0.0
O60279,1.0,1.0,1.0,1.0
O60281,0.5882352941176471,0.4431818181818182,0.5053763440860215,0.75
O60306,0.6601307189542484,0.7443181818181818,0.8172043010752689,1.0
O60313,0.21568627450980393,0.16477272727272727,0.23655913978494625,0.25
O60330,0.20915032679738563,0.17045454545454544,0.1881720430107527,0.5
O60333,0.0,0.0,0.021505376344086023,0.0
O60437,0.42483660130718953,0.3977272727272727,0.43010752688172044,0.75
O60462,1.0,1.0,1.0,1.0
O60476,0.9869281045751634,0.9772727272727273,0.989247311827957,1.0
O60488,0.6797385620915033,0.7329545454545454,0.7526881720430108,1.0
O60493,0.8823529411764706,0.8352272727272727,0.8817204301075269,0.75
O60496,0.23529411764705882,0.2556818181818182,0.27419354838709675,0.75
O60506,0.7058823529411765,0.5909090909090909,0.6129032258064516,1.0
O60507,0.49673202614379086,0.3977272727272727,0.543010752688172,1.0
O60512,0.37254901960784315,0.3352272727272727,0.3870967741935484,1.0
O60568,0.20261437908496732,0.1534090909090909,0.23655913978494625,0.75
O60610,0.9150326797385621,0.9034090909090909,0.8870967741935484,1.0
O60613,0.6535947712418301,0.6477272727272727,0.7634408602150538,0.75
O60664,0.9673202614379085,0.9715909090909091,0.989247311827957,1.0
O60667,0.49019607843137253,0.48295454545454547,0.6021505376344086,1.0
O60687,0.1895424836601307,0.2215909090909091,0.3172043010752688,0.75
O60704,0.9803921568627451,0.9659090909090909,0.989247311827957,1.0
O60716,0.11764705882352941,0.14772727272727273,0.1774193548387097,0.5
O60749,0.49019607843137253,0.4943181818181818,0.543010752688172,0.75
O60762,0.11764705882352941,0.10227272727272728,0.10752688172043011,0.5
O60763,0.5816993464052288,0.5738636363636364,0.6451612903225806,1.0
O60784,0.1111111111111111,0.11931818181818182,0.11827956989247312,0.25
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879,1.0,1.0,1.0,1.0
O60826,0.0392156862745098,0.05113636363636364,0.03225806451612903,0.0
O60841,0.4444444444444444,0.3352272727272727,0.34946236559139787,0.5
O60844,0.7647058823529411,0.7215909090909091,0.7311827956989247,0.75
O60869,0.5490196078431373,0.36363636363636365,0.478494623655914,0.75
O60884,0.6405228758169934,0.6306818181818182,0.5806451612903226,0.75
O60888,0.7843137254901961,0.6818181818181818,0.8494623655913979,1.0
O60890,0.026143790849673203,0.005681818181818182,0.010752688172043012,0.0
O60896,0.49019607843137253,0.4375,0.44623655913978494,0.75
O60909,0.41830065359477125,0.4715909090909091,0.521505376344086,0.5
O60911,0.3790849673202614,0.3181818181818182,0.41935483870967744,0.5
O60925,0.28104575163398693,0.2215909090909091,0.20430107526881722,0.5
O60934,0.0718954248366013,0.14204545454545456,0.11290322580645161,0.0
O60936,0.8235294117647058,0.7897727272727273,0.8225806451612904,0.75
O75015,0.6209150326797386,0.5738636363636364,0.6451612903225806,1.0
O75023,0.28104575163398693,0.32386363636363635,0.3279569892473118,0.5
O75044;P0DMP2,0.24836601307189543,0.1590909090909091,0.21505376344086022,0.75
O75069,0.10457516339869281,0.08522727272727272,0.05913978494623656,0.25
O75081,0.9673202614379085,0.9772727272727273,0.989247311827957,1.0
O75083,1.0,1.0,1.0,1.0
O75093,0.40522875816993464,0.4431818181818182,0.3978494623655914,0.5
O75116,0.7058823529411765,0.6988636363636364,0.7096774193548387,1.0
O75131,0.46405228758169936,0.42613636363636365,0.3655913978494624,0.25
O75144,0.9869281045751634,0.9715909090909091,0.9247311827956989,1.0
O75147,0.803921568627451,0.7954545454545454,0.8279569892473119,1.0
O75150,0.24836601307189543,0.19886363636363635,0.15591397849462366,0.25
O75154,0.0196078431372549,0.056818181818181816,0.03763440860215054,0.25
O75165,0.7973856209150327,0.7897727272727273,0.7849462365591398,1.0
O75170,0.8169934640522876,0.7840909090909091,0.8118279569892473,1.0
O75190,0.1895424836601307,0.16477272727272727,0.1881720430107527,0.25
O75223,0.9477124183006536,0.9034090909090909,0.9354838709677419,1.0
O75251,0.0718954248366013,0.10227272727272728,0.07526881720430108,0.0
O75298,0.1111111111111111,0.11363636363636363,0.13978494623655913,0.25
O75306,0.10457516339869281,0.13068181818181818,0.11290322580645161,0.0
O75309,0.9673202614379085,0.9545454545454546,0.978494623655914,1.0
O75326,0.3790849673202614,0.32954545454545453,0.3978494623655914,0.25
O75339,1.0,1.0,1.0,1.0
O75340,1.0,1.0,1.0,1.0
O75342,0.2549019607843137,0.19886363636363635,0.22043010752688172,0.5
O75347,0.8169934640522876,0.7670454545454546,0.7419354838709677,0.75
O75348,0.4444444444444444,0.38636363636363635,0.41935483870967744,0.5
O75351,0.8366013071895425,0.8125,0.8602150537634409,1.0
O75356,0.8888888888888888,0.9204545454545454,0.9247311827956989,1.0
O75367,0.8823529411764706,0.7386363636363636,0.7956989247311828,1.0
O75368,0.9084967320261438,0.8465909090909091,0.8924731182795699,1.0
O75369,0.5882352941176471,0.5340909090909091,0.532258064516129,1.0
O75390,0.6143790849673203,0.6022727272727273,0.5860215053763441,0.5
O75396,0.5294117647058824,0.5852272727272727,0.5645161290322581,0.5
O75410,0.10457516339869281,0.125,0.0913978494623656,0.25
O75431,0.026143790849673203,0.022727272727272728,0.010752688172043012,0.0
O75436,0.45751633986928103,0.3806818181818182,0.43010752688172044,0.75
O75437,0.0718954248366013,0.017045454545454544,0.08064516129032258,0.25
O75475,0.1503267973856209,0.14772727272727273,0.20430107526881722,0.0
O75477,0.058823529411764705,0.07954545454545454,0.05913978494623656,0.25
O75487,1.0,0.9943181818181818,1.0,1.0
O75489,0.17647058823529413,0.13068181818181818,0.12365591397849462,0.25
O75494,0.032679738562091505,0.028409090909090908,0.043010752688172046,0.0
O75531,0.8888888888888888,0.8352272727272727,0.8602150537634409,1.0
O75533,0.058823529411764705,0.13636363636363635,0.11827956989247312,0.0
O75556,0.11764705882352941,0.10795454545454546,0.11827956989247312,0.25
O75558,0.7712418300653595,0.7443181818181818,0.8010752688172043,1.0
O75563,0.5947712418300654,0.5795454545454546,0.543010752688172,0.75
O75578,0.5555555555555556,0.5454545454545454,0.5645161290322581,0.75
O75592,0.09803921568627451,0.07954545454545454,0.08602150537634409,0.0
O75596,0.6666666666666666,0.6420454545454546,0.8279569892473119,1.0
O75602,0.16339869281045752,0.26136363636363635,0.25268817204301075,0.25
O75608,0.6274509803921569,0.5284090909090909,0.5860215053763441,0.75
O75629,0.1830065359477124,0.14204545454545456,0.17204301075268819,0.0
O75636,1.0,1.0,1.0,1.0
O75643,0.26143790849673204,0.23295454545454544,0.1935483870967742,0.25
O75663,0.17647058823529413,0.1534090909090909,0.17204301075268819,0.25
O75688,0.1830065359477124,0.21022727272727273,0.23655913978494625,0.5
O75694,0.0,0.005681818181818182,0.005376344086021506,0.0
O75695,0.7450980392156863,0.6931818181818182,0.7580645161290323,1.0
O75716,0.013071895424836602,0.03409090909090909,0.03225806451612903,0.0
O75752,1.0,0.9886363636363636,1.0,1.0
O75787,1.0,1.0,1.0,1.0
O75791,0.40522875816993464,0.3806818181818182,0.41935483870967744,0.75
O75821,0.2222222222222222,0.24431818181818182,0.25268817204301075,0.25
O75822,0.8888888888888888,0.8068181818181818,0.8924731182795699,1.0
O75832,0.21568627450980393,0.2215909090909091,0.25268817204301075,0.75
O75844,0.16993464052287582,0.1590909090909091,0.1989247311827957,0.5
