threshold_pct,protein_groups,dose_defined_samples,total_cells,missing_cells,missing_pct,is_primary,control_samples,control_missing_pct,control_median_detection_pct,low_samples,low_missing_pct,low_median_detection_pct,high_samples,high_missing_pct,high_median_detection_pct
50,1935,515,996525,141537,14.203055618273499,False,153,13.789329685362517,93.4640522875817,186,13.37084271067767,93.01075268817203,176,15.442212825933757,90.9090909090909
60,1670,515,860050,84700,9.848264635776989,False,153,9.437986771554929,96.73202614379085,186,9.124975854742129,96.23655913978494,176,10.969311377245509,94.88636363636364
70,1434,515,738510,46443,6.288743551204452,True,153,5.902863237345148,98.69281045751634,186,5.693900811325565,98.38709677419355,176,7.252836946874604,97.1590909090909
80,1214,515,625210,22492,3.5975112362246287,False,153,3.2717425245771015,99.34640522875817,186,3.1793059467502793,99.46236559139786,176,4.322674853976337,98.86363636363636
