category,level,samples,10,20,30,40,50,60,70,80,90,100
XZ_GG,group,143,3258,2736,2355,2067,1837,1625,1407,1226,994,600
XZ_YA,group,22,3374,3117,2870,2642,2422,2103,1892,1654,1404,984
XZ_YB,group,12,3370,3154,2972,2799,2638,2285,2158,1994,1805,1521
XZ_YC,group,34,3345,3071,2741,2532,2320,2051,1877,1615,1387,910
XZ_YD,group,28,3677,3498,3123,2731,2479,2181,1904,1647,1307,992
FJ_FQ,group,70,3158,2739,2419,2173,1948,1768,1596,1392,1161,681
FJ_PT,group,26,3542,3255,3086,2853,2690,2477,2255,2083,1793,1376
FJ_QZ,group,61,3080,2729,2472,2244,2061,1902,1735,1556,1326,891
GZ_TH,group,123,3166,2614,2257,1961,1741,1525,1346,1177,984,570
