"Parameter","Value"
"script_version","2.1"
"analysis_time_UTC","2026-09-25 03:03:13"
"R_version","R version 4.3.1 (2023-06-16 ucrt)"
"seed","20260922"
"completeness_cohort","all audited samples"
"balance_cohort","exposure-defined only"
"missing_definition","blank/absent only; literal tokens kept"
"tests","none"
"summary","median/IQR; Spearman descriptive only"
"plotting_backend","R; Nature figure contract"
"package_ggplot2","4.0.2"
"package_ragg","1.4.0"
"package_patchwork","1.3.0"
