"Protein","Exposure","N_total","N_observed","Mean","SE"
"Q9H6X2","Control",153,153,8.27521036494744,0.0687283557148451
"Q9H6X2","Short exposure",186,186,8.69531059557141,0.0608622153935522
"Q9H6X2","Long exposure",176,176,8.43333149724835,0.0637255888193959
