"Protein","Exposure","N_total","N_observed","Mean","SE"
"O14786","Control",153,153,14.1688947321773,0.0493955025279734
"O14786","Short exposure",186,186,14.2126627307296,0.0460636250090196
"O14786","Long exposure",176,176,13.9377594503444,0.0489824689406339
