"Protein","Exposure","N_total","N_observed","Mean","SE"
"P16112","Control",153,153,10.6710805788442,0.0806788970972088
"P16112","Short exposure",186,186,10.848195834081,0.0651595436870253
"P16112","Long exposure",176,176,10.3321730746028,0.0797024855564785
