"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank"
"Q9UBV8","Low_vs_Control",0.131241174322923,6.73329936962312,1.1455436224533,0.252630817912727,0.571407875215853,-5.28311625120672,FALSE,0.114566719023634,423.586669375703,0.356431247415527,-0.0939488987696812,"moderated_fit_95pct_CI","Not significant",841
"P45877","Low_vs_Control",0.131294974024416,7.18481915819725,1.30123260583865,0.193923042638716,0.509314364732451,-5.06607087756345,FALSE,0.100900464248508,402.586669375703,0.32965257440468,-0.0670626263558482,"moderated_fit_95pct_CI","Not significant",842
"P43251","Low_vs_Control",0.131986562092292,10.7671646735011,1.82350379776936,0.0688025929906601,0.317244110445681,-4.41937972350489,FALSE,0.0723807442867668,518.586669375703,0.274182080275363,-0.0102089560907786,"moderated_fit_95pct_CI","Not significant",843
"P38571","Low_vs_Control",0.132650343965238,7.72585907088287,1.48803114610827,0.137525520636939,0.434719473703147,-4.83968919753852,FALSE,0.0891448705977459,402.586669375703,0.307897928301694,-0.0425972403712179,"moderated_fit_95pct_CI","Not significant",844
"Q05707","Low_vs_Control",0.132724579951979,7.75126753491606,1.47049577944621,0.142037518266048,0.443975616453532,-4.96069796731126,FALSE,0.0902583889101418,515.586669375703,0.310044020359522,-0.044594860455564,"moderated_fit_95pct_CI","Not significant",845
"Q6Q788","Low_vs_Control",0.13274883721181,12.4906748574499,1.58119502710345,0.11444313457271,0.390741559469681,-4.804167612988,FALSE,0.0839547525361179,518.586669375703,0.297682061627234,-0.0321843872036142,"moderated_fit_95pct_CI","Not significant",846
"Q02985","Low_vs_Control",0.133268998002443,9.58465417816836,1.03024209301922,0.303381297013441,0.615344808935324,-5.47128429344121,FALSE,0.129356972410131,513.586669375703,0.387402895193771,-0.120864899188885,"moderated_fit_95pct_CI","Not significant",847
"P02766","Low_vs_Control",0.133449630178619,13.3302924385239,1.64621812824716,0.100324714116757,0.372459303578682,-4.70622577537982,FALSE,0.081064366798531,518.586669375703,0.292704550208601,-0.0258052898513629,"moderated_fit_95pct_CI","Not significant",848
"P29622","Low_vs_Control",0.133613191714288,13.2159780939648,1.68073009967948,0.0934175123814845,0.362055980419051,-4.65265623204969,FALSE,0.0794971136292305,518.586669375703,0.289789166111302,-0.0225627826827255,"moderated_fit_95pct_CI","Not significant",849
"P51888","Low_vs_Control",0.134653479042503,7.70211132190347,1.32543593713938,0.185629984012003,0.495704650043225,-5.13984333481835,FALSE,0.101591842554925,501.586669375703,0.334251455437991,-0.0649444973529851,"moderated_fit_95pct_CI","Not significant",850
"Q9H4A9","Low_vs_Control",0.134774020266098,6.75008140747201,1.04712488968758,0.295678130122326,0.61095452247178,-5.32912060307917,FALSE,0.128708639813069,397.586669375703,0.387808585067374,-0.118260544535178,"moderated_fit_95pct_CI","Not significant",851
"Q96H15","Low_vs_Control",0.135036638084712,9.5957987701903,1.39757140096361,0.162865845192918,0.468035314642575,-5.04378743242309,FALSE,0.096622353599684,496.586669375703,0.32487565908342,-0.0548023829139961,"moderated_fit_95pct_CI","Not significant",852
"Q07960","Low_vs_Control",0.135115571789701,7.91996207824323,1.09220796766712,0.275258806973671,0.590334407750566,-5.40999285430732,FALSE,0.123708648709365,508.586669375703,0.378158451530779,-0.107927307951377,"moderated_fit_95pct_CI","Not significant",853
"Q7Z304","Low_vs_Control",0.135154334333571,7.25033801421109,1.32085520173331,0.187195708807671,0.498956591877694,-5.12268045858517,FALSE,0.102323353957507,467.586669375703,0.336224877401649,-0.0659162087345071,"moderated_fit_95pct_CI","Not significant",854
"P22607","Low_vs_Control",0.135519914338147,6.99276615756357,1.24127421068309,0.215183404699895,0.532941282106475,-5.16148936249505,FALSE,0.109178063293177,428.586669375703,0.350110979250122,-0.0790711505738275,"moderated_fit_95pct_CI","Not significant",855
"Q02817","Low_vs_Control",0.13557853822148,7.84585650726423,0.855251405692943,0.392863504857017,0.712656053066825,-5.57324780597347,FALSE,0.15852477683054,453.586669375703,0.447112659677645,-0.175955583234685,"moderated_fit_95pct_CI","Not significant",856
"P16112","Low_vs_Control",0.135788316936702,10.6192276016162,1.26200340080802,0.207514845869819,0.522981175707066,-5.22820116535235,FALSE,0.107597425529726,518.586669375703,0.347168730734976,-0.0755920968615717,"moderated_fit_95pct_CI","Not significant",857
"Q9Y543","Low_vs_Control",0.135985204074473,10.5836936364859,1.099157532386,0.272225598207669,0.589250971689801,-5.39099990427829,FALSE,0.12371766563732,502.586669375703,0.379052720581013,-0.107082312432067,"moderated_fit_95pct_CI","Not significant",858
"P06727","Low_vs_Control",0.136313052891619,15.9857521585886,1.87540709357615,0.061298379522077,0.310539986494198,-4.32992731595873,FALSE,0.0726845138629014,518.586669375703,0.279105341289093,-0.00647923550585516,"moderated_fit_95pct_CI","Not significant",859
