"Protein","Exposure","N_total","N_observed","Mean","SE"
"Q8TB73","Control",153,151,7.96424954810987,0.0767017745045215
"Q8TB73","Short exposure",186,186,8.3532327613309,0.06120621514304
"Q8TB73","Long exposure",176,172,7.87476540873576,0.074170335766817
