"Protein","Exposure","N_total","N_observed","Mean","SE"
"Q9Y5X9","Control",153,151,8.09864112717388,0.0671551699298678
"Q9Y5X9","Short exposure",186,183,8.53269163475148,0.051598266866108
"Q9Y5X9","Long exposure",176,174,8.22439789682441,0.054809672717623
