"Protein","Exposure","N_total","N_observed","Mean","SE"
"Q8TC71","Control",153,124,13.1192634385693,0.0888140826916427
"Q8TC71","Short exposure",186,162,12.6841988086476,0.102005470271538
"Q8TC71","Long exposure",176,144,12.5699901114633,0.0995191373997467
