"Protein","Exposure","N_total","N_observed","Mean","SE"
"P08195","Control",153,153,7.14506772365912,0.0755172258602776
"P08195","Short exposure",186,183,7.57229208356799,0.0563369471844203
"P08195","Long exposure",176,174,7.27485331434341,0.0600819628745016
