"Protein","Control","Low","High","Pattern","logFC","adj.P.Val"
"Q9BXX0",9.86031737014725,10.0020936148579,9.68105122277349,"Low_peak",-0.266991973434157,0.0104349010104512
"P13611",12.9994579316977,13.1726671863225,12.8415827709787,"Low_peak",-0.280279878285388,0.010527025108564
"O95967",8.86176018858441,9.01013188648739,8.70954953788815,"Low_peak",-0.323758496444871,0.0107862158998774
"P12259",18.0361551747729,18.1087229031544,17.868645116733,"Low_peak",-0.218536716263515,0.0107862158998774
"Q9NRA1",9.43616266108274,9.64423874672376,9.29545303610297,"Low_peak",-0.305084814092639,0.0110358160031522
"Q9NZ53",8.44809728558905,8.76525237517773,8.35722052201019,"Low_peak",-0.320847273575835,0.0111062106664819
"P12111",9.54058891636573,9.81909564413253,9.53473629247425,"Low_peak",-0.235627192518967,0.011509062942843
"O15400",8.57540542398068,8.81054695137909,8.42066186621496,"Low_peak",-0.327481716347751,0.0117215145948449
"P14625",14.0089209277559,14.1861373402311,13.8835917692304,"Low_peak",-0.294868761956373,0.0117488855678119
"Q6V0I7",9.77229535983592,9.96904039014962,9.59247911537575,"Low_peak",-0.346723746392032,0.0117488855678119
"Q8NEH6",10.0581647535563,10.4183607914128,9.9774867741287,"Low_peak",-0.345264693865811,0.0117488855678119
"P39059",10.401786752934,10.4727250852123,10.1375133414583,"Low_peak",-0.325688269257764,0.0117488855678119
"P56715",10.5884145311002,10.8771679442495,10.5359024133591,"Low_peak",-0.262508048857956,0.0117488855678119
"Q02952",10.7517334141807,11.0539048548758,10.6979524759734,"Low_peak",-0.311415554329919,0.0117488855678119
"Q13740",9.93530798884567,10.2372572768082,9.91489410172638,"Low_peak",-0.300347397989247,0.0117488855678119
"P05019",9.1034048227687,9.32657267527072,9.0551397795351,"Low_peak",-0.251856732076652,0.0117488855678119
"P51888",7.70845369255529,7.86232849336503,7.52203947152679,"Low_peak",-0.326904262930632,0.0117488855678119
"Q9HCU0",14.0987889207741,14.3760475268762,14.0491204353979,"Low_peak",-0.279272956172186,0.0119538257566401
"Q9NS73",13.1063721768736,13.3458996648424,12.9899428199858,"Low_peak",-0.295324205111617,0.0119560516364074
"Q9Y274",9.55776827160435,9.66345602505649,9.35218529235775,"Low_peak",-0.249521480667884,0.0125208366748269
"Q6UXD5",9.67538574995574,9.76442989582235,9.48147664433284,"Low_peak",-0.297185062055505,0.0128214829317591
"Q6UWD8",7.1403998879337,7.41024567911173,7.06701431576734,"Low_peak",-0.303080047197466,0.0128464692677272
"P26572",8.7258730253861,9.17380227642153,8.6675872364637,"Low_peak",-0.363749683883542,0.0130256964995006
"Q9UGM3",8.45956831678309,8.80500124302645,8.37519328193369,"Low_peak",-0.358368075190482,0.0133216298702043
"Q86TY3",8.89987799169676,8.96962450935386,8.67218749212161,"Low_peak",-0.254806361703793,0.0133216298702043
"P16070",16.2876557797795,16.4104904255584,16.1538206496891,"Low_peak",-0.250512243953107,0.0133828821636621
"Q92823",8.71847345686797,8.78149852050939,8.50334882052384,"Low_peak",-0.311124250565447,0.0143087537456409
"Q9ULI3",13.5477656753989,13.6790805236012,13.4598132086498,"Low_peak",-0.172724104273938,0.0146931632807243
"Q02818",8.55576901441562,8.66277519656665,8.37828144402638,"Low_peak",-0.283677452961255,0.0148603035778247
