"Contrast","logOR","OR","SE","CI_low_OR","CI_high_OR","P","N_samples","Zero_cells","Model_status","Detail","PG.ProteinGroups","Model","FDR","Protein_label","Lower","Upper"
"Low_vs_Control",1.45229959785957,4.2729292448235,0.318368083386333,2.28944543609634,7.97482396540487,5.07411784685065e-06,515,FALSE,"ok","","Q96MT3","Primary",0.00937696978097999,"Q96MT3",0.82830962059531,2.07628957512382
"Low_vs_Control",1.04817908134343,2.85245230257487,0.268480928112291,1.68533799081069,4.82780556946373,9.4572754804391e-05,515,FALSE,"ok","","Q96HF1","Primary",0.0873852254392573,"Q96HF1",0.521966131707453,1.57439203097941
"Low_vs_Control",1.19992277089532,3.31986052298005,0.346013679209525,1.68497111544196,6.54104618829058,0.000524644371832674,515,FALSE,"ok","","P16035","Primary",0.242385699786695,"P16035",0.521748421486452,1.87809712030418
"Low_vs_Control",0.941923854796441,2.56491119142302,0.270501325152371,1.50945853394441,4.35836379201213,0.000497421013319917,515,FALSE,"ok","","Q15223","Primary",0.242385699786695,"Q15223",0.411750999727435,1.47209670986545
"Low_vs_Control",-0.810324963634676,0.444713527015092,0.250437552137728,0.272212151977106,0.726529362020679,0.00121371704413211,515,FALSE,"ok","","O14983","Primary",0.387596704565203,"O14983",-1.30117354620099,-0.319476381068357
"Low_vs_Control",1.00097452836214,2.72093216240022,0.310351345333128,1.48096968967544,4.99907046308722,0.00125843085897793,515,FALSE,"ok","","Q8IWE2","Primary",0.387596704565203,"Q8IWE2",0.392697068955658,1.60925198776862
"Low_vs_Control",-0.744913547799074,0.474775343539126,0.237298115629295,0.298194503813071,0.755921467197796,0.00169440717359716,515,FALSE,"ok","","A0PJW8","Primary",0.447323493829649,"A0PJW8",-1.21000930803171,-0.279817787566434
"Low_vs_Control",0.779457394711216,2.18028890818661,0.262788054525297,1.3026521117431,3.64921660995169,0.00301595889191759,515,FALSE,"ok","","O75596","Primary",0.696686504032963,"O75596",0.264402272274287,1.29451251714815
"Low_vs_Control",0.674697416332801,1.96343878157077,0.236779726387534,1.23444031403563,3.12294714061391,0.00437917346665025,515,FALSE,"ok","","P0DOX4","Primary",0.741580221570414,"P0DOX4",0.210617680343986,1.13877715232162
"Low_vs_Control",-0.733344370071986,0.480300000114971,0.26013178576338,0.288461600791425,0.799718539582126,0.00481545598422346,515,FALSE,"ok","","Q15555","Primary",0.741580221570414,"Q15555",-1.2431933014023,-0.223495438741672
"Low_vs_Control",0.651723206309975,1.91884454673356,0.230249717317306,1.22194280216811,3.01320519094361,0.00464744395302733,515,FALSE,"ok","","Q9NNX6","Primary",0.741580221570414,"Q9NNX6",0.200442052917528,1.10300435970242
"Low_vs_Control",-0.779748607666917,0.458521265548314,0.269609179486615,0.27031349812909,0.77777007961188,0.00382622365845554,515,FALSE,"ok","","Q9UNZ2","Primary",0.741580221570414,"Q9UNZ2",-1.30817288936208,-0.251324325971757
"Low_vs_Control",0.722364328996156,2.05929631337646,0.259532116753678,1.23823964188555,3.42478237881989,0.00538035375655305,515,FALSE,"ok","","A0A0C4DH36","Primary",0.763501472014203,"A0A0C4DH36",0.213690727327503,1.23103793066481
"Low_vs_Control",-0.699940500377631,0.496614851308483,0.25571797557421,0.300851490599074,0.819760972594983,0.00619725220790749,515,FALSE,"ok","","P49321","Primary",0.763501472014203,"P49321",-1.20113852270258,-0.198742478052686
"Low_vs_Control",0.840199195899641,2.31682843354355,0.306103186849347,1.27156442630181,4.22133073200794,0.00605434648206184,515,FALSE,"ok","","Q15848","Primary",0.763501472014203,"Q15848",0.240247974121987,1.4401504176773
"Low_vs_Control",0.59836782563166,1.81914721052454,0.226808268312992,1.16629468591478,2.83744461286263,0.00833449691505767,515,FALSE,"ok","","O14717","Primary",0.770107514951329,"O14717",0.153831788342298,1.04290386292102
"Low_vs_Control",0.730154142464957,2.07540049036709,0.272463474756725,1.21669181045377,3.54016288957311,0.00736608917040871,515,FALSE,"ok","","P23280","Primary",0.770107514951329,"P23280",0.196135544839138,1.26417274009078
"Low_vs_Control",0.643118296662214,1.90240389936818,0.241090563111075,1.1860037660025,3.05154224638746,0.00764091930514265,515,FALSE,"ok","","P34096","Primary",0.770107514951329,"P34096",0.170589475952025,1.1156471173724
"Low_vs_Control",-0.770455011867604,0.462802439793162,0.29121284019611,0.261525969544202,0.81898596400119,0.00815277062532228,515,FALSE,"ok","","Q93084","Primary",0.770107514951329,"Q93084",-1.3412216904876,-0.19968833324761
"Low_vs_Control",0.641530062387608,1.89938483441691,0.240749661633099,1.18491304991584,3.04466454265919,0.00770528061704172,515,FALSE,"ok","","Q9H4A4","Primary",0.770107514951329,"Q9H4A4",0.16966939629653,1.11339072847869
