"PG.ProteinGroups","Contrast","Detection_pattern","Restricted_candidate_60_or_70","Control_detection_rate","Short_detection_rate","Long_detection_rate","In_detection_analysis_universe","Primary_logOR","Primary_OR","Primary_SE","Primary_P","Primary_FDR","Primary_Model_status","Primary_N_samples","Acquisition_adjusted_logOR","Acquisition_adjusted_OR","Acquisition_adjusted_SE","Acquisition_adjusted_P","Acquisition_adjusted_FDR","Acquisition_adjusted_Model_status","Acquisition_adjusted_N_samples","Acquisition_matched_primary_logOR","Acquisition_matched_primary_OR","Acquisition_matched_primary_SE","Acquisition_matched_primary_P","Acquisition_matched_primary_FDR","Acquisition_matched_primary_Model_status","Acquisition_matched_primary_N_samples","Age_sex_logOR","Age_sex_OR","Age_sex_SE","Age_sex_P","Age_sex_FDR","Age_sex_Model_status","Age_sex_N_samples","Direction_concordant","Acquisition_sensitive","Model_status"
"A0A075B6I4","High_vs_Control","Other_unbalanced",FALSE,0.673202614379085,0.736559139784946,0.710227272727273,TRUE,0.160308354305141,1.17387278391685,0.240108123654052,0.504356593120426,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.160308354305141,1.17387278391685,0.240108123654052,0.504356593120426,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6I4","High_vs_Low","Other_unbalanced",FALSE,0.673202614379085,0.736559139784946,0.710227272727273,TRUE,-0.0931341421809498,0.911071279010442,0.237019608692396,0.694364865574524,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.0931341421809498,0.911071279010442,0.237019608692396,0.694364865574524,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6J9","Low_vs_Control","Broad_detection",FALSE,0.901960784313726,0.956989247311828,0.909090909090909,TRUE,1.12626023889995,3.08410110504258,0.461876651797433,0.0147506538161595,0.858048581626581,"ok",515,,,,,,"separation_nonfinite_MLE",515,1.12626023889995,3.08410110504258,0.461876651797433,0.0147506538161595,0.858048581626581,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6J9","High_vs_Control","Broad_detection",FALSE,0.901960784313726,0.956989247311828,0.909090909090909,TRUE,0.151459581555259,1.16353127273481,0.385259816274433,0.694218885845553,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.151459581555259,1.16353127273481,0.385259816274433,0.694218885845553,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6J9","High_vs_Low","Broad_detection",FALSE,0.901960784313726,0.956989247311828,0.909090909090909,TRUE,-0.974800657344694,0.377267551583315,0.453322691057942,0.0315278525093902,0.580192032691217,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.974800657344694,0.377267551583315,0.453322691057942,0.0315278525093902,0.580192032691217,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6K4","Low_vs_Control","Broad_detection",FALSE,0.915032679738562,0.908602150537634,0.903409090909091,TRUE,0.113334983239269,1.12000705370635,0.393798067443304,0.773500032869228,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.113334983239269,1.12000705370635,0.393798067443304,0.773500032869228,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6K4","High_vs_Control","Broad_detection",FALSE,0.915032679738562,0.908602150537634,0.903409090909091,TRUE,-0.0889418891158516,0.914898737604281,0.391670335067823,0.820358777125334,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.0889418891158516,0.914898737604281,0.391670335067823,0.820358777125334,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6K4","High_vs_Low","Broad_detection",FALSE,0.915032679738562,0.908602150537634,0.903409090909091,TRUE,-0.202276872355121,0.816868728260844,0.366732568595215,0.581246378312385,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.202276872355121,0.816868728260844,0.366732568595215,0.581246378312385,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6K5","Low_vs_Control","Broad_detection",FALSE,1,1,1,TRUE,,,,,,"constant_detection",515,,,,,,"constant_detection",515,,,,,,"constant_detection",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:constant_detection; Acquisition:constant_detection"
"A0A075B6K5","High_vs_Control","Broad_detection",FALSE,1,1,1,TRUE,,,,,,"constant_detection",515,,,,,,"constant_detection",515,,,,,,"constant_detection",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:constant_detection; Acquisition:constant_detection"
