"Protein","K","Cluster"
"Q9Y240",3,1
"P98160",3,1
"Q99983",3,1
"P05090",3,3
"Q13316",3,2
"O75752",3,1
"Q92859",3,1
"O75487",3,1
"Q14520",3,1
"P28482",3,2
"Q6UWP8",3,1
"Q06828",3,1
"P22466",3,3
"Q14956",3,2
"P49746",3,1
"O15335",3,1
"P35052",3,1
"Q99715",3,1
"O00468",3,1
"Q7LGC8",3,1
"Q9NR99",3,1
"P09603",3,1
"Q0VD83",3,1
"Q8NG11",3,2
"Q9UKM7",3,1
"Q6ZRP7",3,1
"P78539",3,1
"Q13103",3,1
"P35443",3,1
"Q14515",3,1
"Q9BYH1",3,1
"P28906",3,1
"P04004",3,1
"Q6P4E1",3,1
"O95196",3,2
"Q5JRA6",3,1
"Q9H251",3,1
"P08294",3,3
"P08493",3,1
"Q8IUX7",3,1
"P49747",3,1
"Q9HC84",3,2
"Q8IZF2",3,1
"P09326",3,2
"P07359",3,1
"Q13444",3,3
"P19256",3,2
"P06734",3,2
"Q6Q788",3,2
"P49641",3,1
"Q6UVK1",3,1
"O75787",3,1
"O60279",3,1
"O94985",3,1
"P14314",3,1
"P10451",3,1
"Q9HCM3",3,1
"O15466",3,1
"Q9NQ79",3,3
"P40967",3,1
"Q12797",3,1
"Q9BUD6",3,3
"Q9BRK5",3,1
"P09619",3,1
"Q8WWA0",3,3
"Q14517",3,3
"P55290",3,3
"P05154",3,2
"P13942",3,1
"Q9BV94",3,2
"P27797",3,1
"Q9Y5X9",3,2
"O43157",3,1
"P12109",3,3
"P23471",3,1
"Q14393",3,3
"Q9BY76",3,2
"Q08431",3,2
"Q9BXX0",3,1
"P13611",3,1
"O95967",3,3
"P12259",3,1
"Q9NRA1",3,1
"Q9NZ53",3,1
"P12111",3,3
"O15400",3,2
"P14625",3,1
"Q6V0I7",3,3
"Q8NEH6",3,2
"P39059",3,1
"P56715",3,2
"Q02952",3,1
"Q13740",3,1
"P05019",3,2
"P51888",3,1
"Q9HCU0",3,1
"Q9NS73",3,2
"Q9Y274",3,3
"Q6UXD5",3,1
"Q6UWD8",3,2
"P26572",3,3
"Q9UGM3",3,2
"Q86TY3",3,1
"P16070",3,1
"Q92823",3,1
"Q9ULI3",3,1
"Q02818",3,2
"Q504Y2",3,1
"Q92187",3,1
"P02760",3,3
"Q53EL9",3,2
"Q15582",3,3
"O00461",3,1
"P26022",3,1
"O60462",3,1
"Q8IZP7",3,1
"P29966",3,2
"Q14767",3,1
"Q76LX8",3,3
"P16871",3,1
"Q9H159",3,1
"Q07507",3,1
"P00966",3,2
"Q8IUK5",3,1
"P98095",3,1
"Q96AQ6",3,1
"P24821",3,1
"Q658P3",3,2
"Q6EMK4",3,3
"Q86YZ3",3,2
"P32942",3,1
"Q6YHK3",3,1
"P20908",3,2
"Q10472",3,1
"P50895",3,3
"Q14242",3,1
"Q8IZP9",3,1
"Q8NBJ4",3,1
"P21810",3,1
"O95715",3,3
"Q9BXN1",3,1
"Q9H2X3",3,2
"Q6UX71",3,3
"Q8NI99",3,3
"O94769",3,1
"Q9NP78",3,2
"Q9Y4L1",3,3
"Q9H8L6",3,3
"Q92752",3,2
"Q92743",3,3
"P51884",3,1
"O00339",3,2
"Q9BWP8",3,3
"Q8NBJ7",3,3
"Q76I76",3,2
"P05387",3,1
"O43897",3,2
"P55287",3,3
"P52943",3,2
"Q8TD06",3,2
"Q9H8J5",3,1
"A1L4H1",3,1
"Q9NYQ6",3,1
"P00736",3,3
"P80108",3,3
"Q8WWZ8",3,3
"Q15293",3,1
"Q16706",3,3
"P15291",3,3
"P07942",3,1
"P01011",3,3
"Q99969",3,2
"Q13217",3,1
"Q9NS62",3,1
"O43505",3,3
"Q14574",3,1
"Q09327",3,2
"Q07954",3,3
"Q9Y625",3,2
"Q8N3T1",3,2
"P07355",3,2
"P19320",3,3
"Q9UHF0",3,3
"Q86TH1",3,3
"Q08554",3,2
"P08833",3,2
"P78509",3,3
"Q15166",3,3
"P35625",3,1
"P14543",3,3
"Q6ZN30",3,2
"Q08722",3,2
"Q6UXI9",3,1
"Q6E0U4",3,3
"P35030",3,2
"P16150",3,1
"P98164",3,2
"Q5D862",3,2
"Q16270",3,1
"P55291",3,2
"Q96EE4",3,3
"P08195",3,3
"Q9H0B8",3,2
"Q8TER0",3,3
"Q9NPG4",3,3
"P08575",3,1
"Q9UBP4",3,1
"P41222",3,3
"Q13609",3,1
"O75339",3,1
"P08238",3,1
"Q99542",3,1
"P04233",3,1
"O60245",3,3
"Q7Z7M9",3,2
"P39060",3,1
"Q8WWV6",3,1
"Q9BYE9",3,2
"Q9H1Z8",3,2
"Q9UBS9",3,1
"P01275",3,3
"Q99784",3,3
"P60033",3,2
"O15031",3,3
"Q9NQ38",3,2
"Q11201",3,3
"A6NDG6",3,2
"Q08174",3,3
"Q8TDL5",3,2
"Q9NRB3",3,1
"O14645",3,2
"Q15438",3,2
"P48740",3,3
"Q9BYJ0",3,3
"Q15599",3,2
"P12830",3,3
"P07307",3,3
"P27169",3,3
"Q7Z7G0",3,1
"Q8NFU4",3,2
"Q641Q3",3,2
"P09871",3,3
"Q9Y6Z7",3,3
"P55157",3,2
"P15311",3,2
"P51148",3,2
"P13645",3,2
"P07333",3,1
"P16112",4,3
"Q08378",4,2
"Q92696",4,2
"P13591",4,3
"Q8TB73",4,1
"P07585",4,1
"O14594",4,1
"O14786",4,3
"Q9Y240",4,1
"P98160",4,1
"Q99983",4,3
"P05090",4,4
"Q13316",4,2
"O75752",4,1
"Q92859",4,3
"O75487",4,1
"Q14520",4,3
"P28482",4,2
"Q6UWP8",4,3
"Q06828",4,1
"P22466",4,4
"Q14956",4,2
"P49746",4,3
"O15335",4,3
"P35052",4,3
"Q99715",4,3
"O00468",4,1
"Q7LGC8",4,3
"Q9NR99",4,3
"P09603",4,1
"Q0VD83",4,1
"Q8NG11",4,2
"Q9UKM7",4,1
"Q6ZRP7",4,1
"P78539",4,3
"Q13103",4,1
"P35443",4,1
"Q14515",4,1
"Q9BYH1",4,1
"P28906",4,1
"P04004",4,3
"Q6P4E1",4,3
"O95196",4,2
"Q5JRA6",4,1
"Q9H251",4,1
"P08294",4,4
"P08493",4,3
"Q8IUX7",4,3
"P49747",4,3
"Q9HC84",4,2
"Q8IZF2",4,1
"P09326",4,2
"P07359",4,3
"Q13444",4,4
"P19256",4,2
"P06734",4,2
"Q6Q788",4,2
"P49641",4,3
"Q6UVK1",4,3
"O75787",4,1
"O60279",4,3
"O94985",4,1
"P14314",4,1
"P10451",4,3
"Q9HCM3",4,1
"O15466",4,1
"Q9NQ79",4,3
"P40967",4,3
"Q12797",4,1
"Q9BUD6",4,4
"Q9BRK5",4,1
"P09619",4,1
"Q8WWA0",4,4
"Q14517",4,4
"P55290",4,4
"P05154",4,2
"P13942",4,3
"Q9BV94",4,2
"P27797",4,1
"Q9Y5X9",4,2
"O43157",4,1
"P12109",4,4
"P23471",4,3
"Q14393",4,4
"Q9BY76",4,4
"Q08431",4,2
"Q9BXX0",4,1
"P13611",4,1
"O95967",4,4
"P12259",4,1
"Q9NRA1",4,3
"Q9NZ53",4,1
"P12111",4,4
"O15400",4,2
"P14625",4,1
"Q6V0I7",4,1
"Q8NEH6",4,2
"P39059",4,3
"P56715",4,2
"Q02952",4,1
"Q13740",4,1
"P05019",4,2
"P51888",4,3
"Q9HCU0",4,1
"Q9NS73",4,2
"Q9Y274",4,4
"Q6UXD5",4,3
"Q6UWD8",4,2
"P26572",4,4
"Q9UGM3",4,2
"Q86TY3",4,1
"P16070",4,3
"Q92823",4,3
"Q9ULI3",4,1
"Q02818",4,3
"Q504Y2",4,1
"Q92187",4,3
"P02760",4,4
"Q53EL9",4,2
"Q15582",4,4
"O00461",4,3
"P26022",4,1
"O60462",4,1
