"Cluster","N","Mean_logFC","Median_FDR"
1,131,-0.30042433695705,0.0117488855678119
2,108,-0.303987888564307,0.021202995828481
3,5,-0.35602476390431,0.0071113664990785
4,12,-0.312124991029199,0.0301034201398944
