"UniqueSampleID","dosecontrol","doselow","dosehigh","environmenthigh_temperature"
"20251001_FJ_FQ_F163",1,0,0,1
"20251001_FJ_FQ_F165",1,0,0,1
"20251001_FJ_FQ_F168",0,0,1,1
"20251001_FJ_FQ_F170",1,0,0,1
"20251001_FJ_FQ_F173",0,1,0,1
"20251001_FJ_FQ_F174",0,1,0,1
"20251001_FJ_FQ_F175",0,1,0,1
"20251001_FJ_FQ_F176",0,1,0,1
"20251001_FJ_FQ_F177",0,1,0,1
"20251001_FJ_FQ_F180",0,1,0,1
"20251001_FJ_FQ_F183",0,1,0,1
"20251001_FJ_FQ_F185",0,1,0,1
"20251001_XZ_YA_1",0,1,0,0
"20251001_XZ_YA_2",0,1,0,0
"20251001_XZ_YA_3",0,1,0,0
"20251001_XZ_YA_4",0,1,0,0
"20251001_XZ_YA_5",0,1,0,0
"20251001_XZ_YA_6",0,1,0,0
"20251001_XZ_YA_7",0,1,0,0
"20251001_XZ_YA_8",0,1,0,0
"20251001_XZ_YA_9",0,1,0,0
"20251001_XZ_YA_10",0,1,0,0
"20251001_XZ_YA_11",0,1,0,0
"20251001_XZ_YA_12",0,1,0,0
"20251001_XZ_YA_13",0,1,0,0
"20251001_XZ_YA_14",0,1,0,0
"20251001_XZ_YA_15",0,1,0,0
"20251001_XZ_YA_16",0,1,0,0
"20251001_XZ_YA_17",0,1,0,0
"20251001_XZ_YA_18",0,1,0,0
"20251001_XZ_YA_19",0,1,0,0
"20251001_XZ_YA_20",1,0,0,0
"20251001_XZ_YA_21",1,0,0,0
"20251001_XZ_YA_22",0,0,1,0
"20251001_XZ_YB_2",1,0,0,0
"20251001_XZ_YB_4",1,0,0,0
"20251001_XZ_YB_6",1,0,0,0
"20251001_XZ_YB_9",1,0,0,0
"20251001_XZ_YB_10",1,0,0,0
"20251001_XZ_YB_11",1,0,0,0
"20251001_XZ_YB_12",1,0,0,0
"20251001_XZ_YB_14",1,0,0,0
"20251001_XZ_YB_15",1,0,0,0
"20251001_XZ_YB_19",1,0,0,0
"20251001_XZ_YC_1",1,0,0,0
"20251001_XZ_YC_2",1,0,0,0
"20251001_XZ_YC_3",0,0,1,0
"20251001_XZ_YC_4",1,0,0,0
"20251001_XZ_YC_5",0,0,1,0
"20251001_XZ_YC_6",0,1,0,0
"20251001_XZ_YC_7",0,1,0,0
"20251001_XZ_YC_8",1,0,0,0
"20251001_XZ_YC_9",0,1,0,0
"20251001_XZ_YC_10",0,0,1,0
"20251001_XZ_YC_11",0,0,1,0
"20251001_XZ_YC_12",0,0,1,0
"20251001_XZ_YC_13",0,0,1,0
"20251001_XZ_YC_14",0,0,1,0
"20251001_XZ_YC_15",0,0,1,0
"20251001_XZ_YC_16",0,0,1,0
"20251001_XZ_YC_17",0,0,1,0
"20251001_XZ_YC_18",0,1,0,0
"20251001_XZ_YC_19",0,0,1,0
"20251001_XZ_YC_20",0,1,0,0
"20251001_XZ_YC_21",0,0,1,0
"20251001_XZ_YC_22",0,0,1,0
"20251001_XZ_YC_23",0,1,0,0
"20251001_XZ_YC_24",0,0,1,0
"20251001_XZ_YC_25",0,0,1,0
"20251001_XZ_YC_26",0,0,1,0
"20251001_XZ_YC_27",0,0,1,0
"20251001_XZ_YC_28",0,0,1,0
"20251001_XZ_YC_29",0,0,1,0
"20251001_XZ_YC_30",0,1,0,0
"20251001_XZ_YC_31",1,0,0,0
"20251001_XZ_YC_32",0,0,1,0
"20251001_XZ_YC_33",0,0,1,0
"20251001_XZ_YC_34",1,0,0,0
"20251001_XZ_YD_1",0,1,0,0
"20251001_XZ_YD_3",1,0,0,0
"20251001_XZ_YD_4",1,0,0,0
"20251001_XZ_YD_5",0,1,0,0
"20251001_XZ_YD_6",1,0,0,0
"20251001_XZ_YD_7",0,0,1,0
"20251001_XZ_YD_8",0,0,1,0
"20251001_XZ_YD_9",0,0,1,0
"20251001_XZ_YD_10",0,0,1,0
"20251001_XZ_YD_11",0,0,1,0
"20251001_XZ_YD_12",1,0,0,0
"20251001_XZ_YD_13",1,0,0,0
"20251001_XZ_YD_14",1,0,0,0
"20251001_XZ_YD_15",0,1,0,0
"20251001_XZ_YD_16",0,0,1,0
"20251001_XZ_YD_17",0,1,0,0
"20251001_XZ_YD_18",0,0,1,0
"20251001_XZ_YD_19",1,0,0,0
"20251001_XZ_YD_20",1,0,0,0
"20251001_XZ_YD_21",1,0,0,0
"20251001_XZ_YD_22",1,0,0,0
"20251001_XZ_YD_23",0,1,0,0
"20251001_XZ_YD_24",0,1,0,0
"20251001_XZ_YD_25",0,1,0,0
"20251001_XZ_YD_26",0,1,0,0
"20251001_XZ_YD_27",0,1,0,0
"20251001_XZ_YD_28",0,1,0,0
"20251026_FJ_PT_P31",1,0,0,1
